Changed directory to /rds/user/tdb47/hpc-work/planning/thinker_private_planning/probing.

JobID: 58393844
======
Time: Wed Aug  7 22:57:37 BST 2024
Running on master node: gpu-q-17
Current directory: /rds/user/tdb47/hpc-work/planning/thinker_private_planning/probing

Nodes allocated:
================
gpu-q-17

numtasks=1, numnodes=1, mpi_tasks_per_node=1 (OMP_NUM_THREADS=1)

Executing command:
==================
python create_probe_dataset.py --env_name probing- --model_name 10m --num_episodes 5000 --pct_train 0.6 


Initializing env 0 with device cpu
Data collected from episode 73 with episode length of 119
Data collected from episode 74 with episode length of 24
Data collected from episode 75 with episode length of 59
Data collected from episode 76 with episode length of 118
Data collected from episode 77 with episode length of 118
Data collected from episode 78 with episode length of 119
Data collected from episode 79 with episode length of 64
Data collected from episode 80 with episode length of 116
Data collected from episode 81 with episode length of 17
Data collected from episode 82 with episode length of 116
Data collected from episode 83 with episode length of 39
Data collected from episode 84 with episode length of 115
Data collected from episode 85 with episode length of 38
Data collected from episode 86 with episode length of 120
Data collected from episode 87 with episode length of 116
Data collected from episode 88 with episode length of 119
Data collected from episode 89 with episode length of 119
Data collected from episode 90 with episode length of 115
Data collected from episode 91 with episode length of 118
Data collected from episode 92 with episode length of 56
Data collected from episode 93 with episode length of 117
Data collected from episode 94 with episode length of 120
Data collected from episode 95 with episode length of 120
Data collected from episode 96 with episode length of 118
Data collected from episode 97 with episode length of 115
Data collected from episode 98 with episode length of 25
Data collected from episode 99 with episode length of 115
Data collected from episode 100 with episode length of 27
Data collected from episode 101 with episode length of 20
Data collected from episode 102 with episode length of 116
Data collected from episode 103 with episode length of 116
Data collected from episode 104 with episode length of 116
Data collected from episode 105 with episode length of 120
Data collected from episode 106 with episode length of 117
Data collected from episode 107 with episode length of 119
Data collected from episode 108 with episode length of 118
Data collected from episode 109 with episode length of 117
Data collected from episode 110 with episode length of 37
Data collected from episode 111 with episode length of 117
Data collected from episode 112 with episode length of 72
Data collected from episode 113 with episode length of 117
Data collected from episode 114 with episode length of 24
Data collected from episode 115 with episode length of 115
Data collected from episode 116 with episode length of 49
Data collected from episode 117 with episode length of 115
Data collected from episode 118 with episode length of 22
Data collected from episode 119 with episode length of 118
Data collected from episode 120 with episode length of 46
Data collected from episode 121 with episode length of 119
Data collected from episode 122 with episode length of 119
Data collected from episode 123 with episode length of 119
Data collected from episode 124 with episode length of 118
Data collected from episode 125 with episode length of 117
Data collected from episode 126 with episode length of 115
Data collected from episode 127 with episode length of 25
Data collected from episode 128 with episode length of 118
Data collected from episode 129 with episode length of 115
Data collected from episode 130 with episode length of 115
Data collected from episode 131 with episode length of 118
Data collected from episode 132 with episode length of 115
Data collected from episode 133 with episode length of 42
Data collected from episode 134 with episode length of 116
Data collected from episode 135 with episode length of 117
Data collected from episode 136 with episode length of 118
Data collected from episode 137 with episode length of 117
Data collected from episode 138 with episode length of 120
Data collected from episode 139 with episode length of 116
Data collected from episode 140 with episode length of 116
Data collected from episode 141 with episode length of 118
Data collected from episode 142 with episode length of 119
Data collected from episode 143 with episode length of 21
Data collected from episode 144 with episode length of 118
Data collected from episode 145 with episode length of 19
Data collected from episode 146 with episode length of 30
Data collected from episode 147 with episode length of 115
Data collected from episode 148 with episode length of 34
Data collected from episode 149 with episode length of 118
Data collected from episode 150 with episode length of 118
Data collected from episode 151 with episode length of 17
Data collected from episode 152 with episode length of 118
Data collected from episode 153 with episode length of 115
Data collected from episode 154 with episode length of 115
Data collected from episode 155 with episode length of 117
Data collected from episode 156 with episode length of 117
Data collected from episode 157 with episode length of 31
Data collected from episode 158 with episode length of 117
