,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
{2: [10]},0.0069,-0.0009,0.0081,-0.0003,0.002,-0.0011,0.0004,0.0003,0.0028,0.0001,0.4186,0.1347,0.0268,0.0043,0.0011,0.0,0.1882,-0.0855,0.1515,-0.0749,0.1104,0.1167,0.1221,-0.0076,-0.004,0.0013,0.0028,0.0552,-0.0018,0.0055,0.0388,0.0001,0.0191,0.0066,0.1353,0.0072,0.0207,0.2673,0.1622,0.0082,0.0191,0.0066,0.1353,0.0072,0.0207,0.2673,0.1622,0.0082,0.0153,0.0787,0.5375,0.0063,0.8109,0.2324,0.0126,-0.0003,0.002,0.0015,0.8892,0.0019,0.0101,-0.0118,0.1446,0.1679,-0.0185,-0.0043,0.8641,0.0025,0.0051,-0.0324,-0.0488,-0.0223,-0.0655,-0.0011,0.5511,-0.002,0.0065,-0.1916,-0.0002,0.0
{2: [11]},0.0042,-0.0002,0.0002,-0.0003,0.0003,-0.0002,0.0005,-0.0003,0.0009,-0.001,-0.0029,-0.0594,-0.0001,-0.0011,0.001,-0.0003,0.0107,0.011,-0.0037,0.0073,-0.0005,0.0197,-0.0453,-0.2663,0.007,-0.0,0.002,-0.1486,0.0007,-0.0003,-0.0013,0.0004,0.003,0.0029,0.002,0.0027,0.0002,0.1168,-0.0142,0.0366,0.003,0.0029,0.002,0.0027,0.0002,0.1168,-0.0142,0.0366,0.0199,0.0024,-0.0001,-0.0052,0.0001,0.0124,0.0192,0.0005,0.0,0.006,-0.0018,0.0026,-0.0031,0.0149,0.0984,-0.0041,0.0113,0.0145,0.002,0.0014,0.0007,-0.0007,0.0312,0.0373,0.1923,0.0066,-0.0004,-0.0019,-0.0003,-0.1528,-0.0008,-0.0
{2: [12]},-0.0019,-0.0017,-0.0002,-0.0002,0.0,-0.0001,-0.0002,0.0001,-0.0009,-0.0015,-0.0023,0.0348,-0.0003,-0.0041,0.0003,0.0001,-0.0524,-0.1256,-0.001,-0.0017,-0.0007,0.0183,0.0327,-0.1013,-0.0102,-0.0001,-0.0007,-0.0243,0.0007,-0.0014,-0.0033,-0.0004,-0.0025,-0.0085,-0.002,-0.0005,-0.0001,-0.0404,0.0224,-0.0538,-0.0025,-0.0085,-0.002,-0.0005,-0.0001,-0.0404,0.0224,-0.0538,-0.0047,-0.0153,-0.0006,-0.001,0.0001,-0.0887,0.0335,-0.0012,0.0003,-0.0313,-0.0006,-0.0006,-0.001,-0.0034,-0.0556,-0.5623,-0.0038,0.0005,-0.002,-0.0005,0.0002,-0.002,-0.0489,-0.1219,0.0071,-0.0038,-0.0014,-0.0015,-0.0,-0.1612,-0.0005,-0.0001
{2: [13]},0.3169,0.0022,0.0005,0.0028,-0.0006,-0.0013,0.046,0.0002,0.9486,0.0008,-0.001,0.3377,-0.0006,-0.0038,0.6107,0.0031,0.3789,0.0827,-0.0022,0.1054,-0.0013,-0.0071,-0.0431,0.0836,0.4631,0.0003,0.0012,0.7406,0.001,-0.0013,-0.0139,0.0028,0.8773,0.0213,-0.0026,0.0123,0.0001,-0.0835,0.538,0.7835,0.8773,0.0213,-0.0026,0.0123,0.0001,-0.0835,0.538,0.7835,0.9444,0.0217,-0.0015,0.002,-0.0026,-0.2302,0.2269,0.0026,0.0034,0.014,-0.0278,0.0011,-0.357,-0.0529,0.5003,0.1985,0.0702,0.2931,-0.0033,0.0298,-0.0023,-0.014,0.2197,0.1337,0.3891,0.0206,-0.0082,0.0985,-0.0007,-0.1921,0.8603,0.0023
{2: [14]},0.1133,0.0051,-0.0013,0.0066,0.0001,0.0044,0.0045,-0.0004,0.3429,0.0027,0.0023,0.7792,0.0,0.0044,0.0093,0.0014,0.3567,0.1274,0.0015,0.1123,0.0263,0.0045,0.081,0.0881,0.0878,0.0012,-0.0025,0.7568,-0.0036,0.0031,-0.0144,-0.0002,0.2648,0.4103,0.0388,-0.0019,0.0008,0.3355,0.1833,0.889,0.2648,0.4103,0.0388,-0.0019,0.0008,0.3355,0.1833,0.889,0.6497,0.2875,0.0024,0.0049,0.0239,0.1902,0.045,0.0083,-0.0005,0.0207,0.4642,-0.0024,0.0052,0.0231,0.0611,0.3092,0.047,0.2268,0.1818,0.7665,0.0392,0.0136,0.0936,0.6928,0.3522,0.0278,0.0181,0.9008,-0.0006,0.2087,0.0087,0.0217
{2: [15]},0.4955,0.2343,0.9521,0.9502,0.0021,0.9057,0.4771,0.897,0.8957,0.026,0.9536,0.8598,0.0021,0.5726,0.824,0.492,0.3898,0.1302,0.9522,0.1006,0.0626,0.1332,0.2996,0.0869,0.5979,0.0033,0.9536,0.7626,-0.002,0.4756,0.8724,0.8741,0.8497,0.6096,0.9309,0.0144,0.0044,0.7331,0.6686,0.9014,0.8497,0.6096,0.9309,0.0144,0.0044,0.7331,0.6686,0.9014,0.9485,0.8773,0.9412,0.0079,0.0057,0.3194,0.2934,0.9598,0.0037,0.0173,0.9202,-0.0199,0.0067,0.0021,0.6119,0.3045,0.1093,0.8664,0.9591,0.9026,0.9508,0.0184,0.2588,0.7501,0.433,0.862,0.9442,0.9329,0.3713,0.3644,0.7134,0.9367
{2: [16]},0.0097,0.8387,0.004,0.1781,0.0005,0.1457,0.003,0.9681,0.5026,0.9278,0.0013,0.7575,0.0031,0.5349,0.0002,0.9672,0.3554,0.1442,0.009,0.1056,0.0076,0.3804,0.0186,0.0873,0.5498,0.9183,-0.001,0.7431,-0.0036,0.3074,-0.002,0.9253,0.3962,0.9286,0.0018,-0.0047,0.0076,0.7376,0.0431,0.9105,0.3962,0.9286,0.0018,-0.0047,0.0076,0.7376,0.0431,0.9105,0.9354,0.9098,0.0003,0.0025,0.0068,0.3166,-0.0445,0.9736,-0.0043,0.0217,0.2178,-0.0001,0.0029,0.0357,0.1494,0.3216,0.0441,0.8781,0.6611,0.8451,0.1425,0.009,0.1838,0.764,-0.027,0.9131,0.0693,0.9016,0.0027,0.3291,0.0431,0.9655
{2: [17]},-0.0045,0.0029,-0.0003,-0.0002,0.0004,0.0,0.0033,0.0003,-0.0033,-0.0009,0.0004,-0.0796,0.0005,-0.0068,-0.0003,-0.0013,-0.4224,0.0323,0.0034,-0.1961,-0.0005,-0.0791,-0.0802,0.0437,-0.0102,-0.0004,-0.0019,-0.1752,0.0029,0.0025,0.0035,-0.0002,-0.0057,-0.0078,-0.0035,-0.0072,0.0024,-0.0248,-0.1475,0.0366,-0.0057,-0.0078,-0.0035,-0.0072,0.0024,-0.0248,-0.1475,0.0366,-0.0017,0.0798,-0.0001,0.0052,0.0029,0.1345,0.0379,0.0031,-0.0093,-0.0008,0.0441,0.0049,0.0057,-0.018,-0.0763,0.203,0.0215,-0.0058,0.0479,0.3027,0.0075,0.0015,0.1266,-0.1164,-0.189,-0.0016,-0.0069,0.0039,-0.0003,0.1652,-0.002,-0.0021
{2: [18]},0.0214,0.001,-0.0003,0.0033,0.003,0.0019,0.003,-0.0004,0.0171,-0.0028,0.0046,0.2377,0.0029,0.0074,-0.0002,-0.001,0.2605,0.0631,-0.0006,0.0628,0.0156,0.1116,-0.0105,0.0841,0.0522,0.0009,-0.0003,0.2964,-0.0006,0.011,0.0088,-0.0002,0.0368,0.224,0.0163,0.0046,-0.0001,0.4057,-0.1119,0.4739,0.0368,0.224,0.0163,0.0046,-0.0001,0.4057,-0.1119,0.4739,0.471,0.3943,0.0036,0.0086,0.0053,0.2509,0.0253,0.0007,0.0045,0.0043,0.0911,-0.0009,0.0052,0.0164,0.1439,0.2939,0.0168,0.0806,0.0404,0.0288,0.0231,-0.0064,0.1184,0.1472,-0.0393,0.0102,-0.0075,0.0243,0.004,0.0308,0.0118,0.001
{2: [19]},-0.004,0.0015,0.0028,-0.0001,0.0021,-0.0029,0.0024,0.0003,-0.0008,0.0041,0.0015,-0.0781,0.0034,-0.0053,-0.0026,0.0008,-0.5523,-0.2123,-0.0078,-0.8045,-0.0007,-0.2797,-0.4954,-0.7127,0.0168,0.002,0.0046,-0.1855,0.0009,0.0011,-0.0341,0.0011,-0.0065,-0.0066,-0.0026,-0.9279,0.0033,-0.1148,-0.2078,-0.0175,-0.0065,-0.0066,-0.0026,-0.9279,0.0033,-0.1148,-0.2078,-0.0175,0.0294,-0.0338,0.0011,-0.9401,-0.0007,-0.5437,-0.5408,0.0002,-0.8726,-0.3279,-0.0292,-0.7923,-0.9581,-0.818,-0.3075,-0.6375,-0.2464,0.059,-0.0022,-0.0051,0.0008,-0.1309,0.0982,-0.144,-0.3079,0.0078,-0.0106,-0.0107,0.0018,-0.5459,0.0114,-0.0004
