,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
"{2: [0, 11]}",-0.0009,-0.0005,0.0001,0.0001,0.0007,-0.0004,-0.0004,-0.0005,0.0009,-0.0009,0.0002,0.0,-0.0002,-0.0008,-0.0006,-0.0004,0.0,-0.0028,-0.0009,0.0007,-0.0001,0.0006,-0.0011,-0.0002,0.0004,0.0005,0.0,-0.0011,0.0007,0.0001,-0.0004,0.001,-0.0003,-0.0027,-0.0006,-0.0008,-0.0009,-0.0001,-0.0,-0.0005,-0.0007,-0.0004,0.0005,0.0002,-0.0,-0.0011,-0.0018,-0.0007,0.0006,-0.0017,-0.0005,-0.0005,-0.0008,-0.0007,-0.0009,-0.0006,-0.0002,0.0,-0.0009,0.0002,0.0001,0.0001,-0.0003,0.0003,0.0006,0.0003,-0.0002,0.0003,-0.0006,-0.0007,-0.0005,-0.0004,-0.0005,0.0073,0.0001,0.0061,-0.0071,0.0003,0.0002,0.0002,0.0001,-0.0002,-0.0002,-0.0002,0.0001,0.0002,0.0,0.0002,-0.0013,-0.0,-0.0001,-0.0,0.0002,0.0003,0.0002,0.0001
"{2: [0, 12]}",-0.0006,0.0006,0.0002,0.0005,-0.0002,-0.0003,-0.0004,-0.0007,0.0002,0.0007,0.0004,-0.0001,-0.0004,-0.0009,-0.0002,-0.0004,-0.0001,0.0012,-0.0005,0.0006,-0.0001,0.0007,-0.001,-0.0006,0.0007,-0.0004,-0.0003,-0.0002,-0.0003,0.0002,-0.0001,-0.0004,-0.0001,0.0015,-0.0008,-0.0008,-0.0006,-0.0001,0.0002,0.0003,-0.0005,0.0,0.001,0.0003,-0.0007,-0.0024,-0.003,-0.0006,-0.0001,0.0009,-0.0,0.0,-0.0001,-0.0012,-0.0016,-0.0001,-0.0002,-0.0002,0.0004,0.0002,0.0002,0.0,-0.0013,0.0014,0.0004,0.0013,-0.0004,0.0001,-0.0007,-0.001,-0.0004,-0.0005,0.0031,0.0036,-0.0001,0.0003,-0.0013,0.0014,-0.002,0.0021,0.0,-0.0001,0.0002,-0.0002,0.0001,-0.0001,-0.0001,0.0007,-0.0005,0.0004,-0.0001,0.0004,0.0001,0.0006,-0.0,0.0006
"{2: [0, 13]}",-0.0006,0.0003,0.0001,-0.003,0.0007,-0.0003,-0.0003,-0.0022,-0.0012,-0.0017,-0.0002,-0.001,0.0015,-0.0008,0.0015,-0.0013,0.0006,0.0023,-0.0031,0.0077,0.003,0.0015,0.0022,0.0009,0.0005,0.0013,-0.0003,0.0399,-0.0011,0.0013,-0.0008,-0.0006,-0.0022,-0.0005,-0.0007,0.0004,-0.0004,-0.0015,0.0037,0.0013,-0.0015,0.0006,-0.0002,-0.0027,0.0006,-0.001,-0.0019,0.0046,0.0029,0.0015,-0.0012,-0.0017,0.0016,0.0008,-0.0004,0.0018,-0.0002,-0.0,0.002,-0.0016,-0.0002,0.0003,-0.004,0.012,-0.001,0.0001,0.0006,-0.0013,0.0016,0.0,-0.0008,-0.0021,0.0048,-0.0015,0.0006,0.0027,-0.0076,0.0024,0.0103,-0.0011,0.0006,-0.0001,0.0002,-0.0013,0.0008,0.0005,-0.0001,-0.0019,-0.0016,-0.0,0.0004,0.0031,0.0013,0.001,0.0001,-0.0007
"{2: [0, 14]}",-0.0006,-0.0005,0.0003,0.0002,0.0007,0.0018,0.0005,-0.0008,0.0029,-0.0004,-0.0001,0.0027,0.0019,-0.0003,0.0008,0.0008,-0.0021,-0.0001,-0.0006,0.0015,-0.0015,0.0019,-0.0019,0.0025,0.0005,0.0035,-0.0008,0.0016,0.0009,0.0006,-0.0,0.0018,-0.0014,0.0005,0.0002,0.001,0.0034,-0.0001,-0.0007,0.0012,-0.0007,-0.0009,0.0012,-0.0001,-0.0012,-0.0019,0.0045,-0.0027,0.0003,-0.0016,-0.0008,-0.0006,-0.0014,-0.0018,-0.0014,-0.0006,-0.0,0.0011,0.0025,0.0001,0.0009,0.0002,-0.0014,0.0035,0.0047,-0.0004,-0.0001,0.0008,0.002,0.0003,0.0007,0.0002,0.0007,0.0836,0.0042,-0.0011,-0.0123,0.0005,0.0019,0.0005,0.0001,0.0013,0.0004,-0.001,-0.0002,-0.0006,-0.0003,-0.0007,-0.0013,0.0006,-0.0012,-0.0015,-0.0005,0.0003,-0.0001,0.0002
"{2: [0, 15]}",-0.0003,0.0001,0.0008,-0.0004,0.0007,-0.002,0.0,-0.0019,0.0003,0.0097,0.0021,-0.0004,0.0016,-0.001,0.003,-0.0,-0.0005,0.045,-0.0019,-0.0012,0.0086,-0.002,-0.0071,-0.002,0.0017,-0.0011,-0.0011,-0.0018,0.002,0.0105,0.0,0.0002,-0.0028,0.0518,-0.0008,-0.0056,0.0004,-0.0032,-0.0027,-0.0016,-0.0012,0.037,-0.0001,0.0002,0.0016,-0.0025,-0.0041,-0.0028,0.0008,0.0012,-0.0017,-0.001,0.0032,-0.0004,-0.0021,0.0004,-0.0005,0.0025,-0.0007,0.0002,0.0008,-0.0007,-0.0007,0.0029,0.0008,-0.0012,0.0038,0.0002,0.0012,0.0011,-0.0003,-0.0011,0.0005,0.6555,-0.0021,0.0,-0.0057,0.0016,-0.0036,-0.0033,-0.0006,0.0043,0.0002,-0.0008,0.0009,-0.0007,-0.0001,0.0007,0.0004,0.002,0.0003,0.0013,0.0022,-0.0008,0.0,0.0004
"{2: [0, 16]}",0.258,0.0033,0.0001,0.0004,0.0872,0.0012,-0.0002,0.0057,0.0212,0.0101,0.0003,0.0032,0.3577,-0.0,0.0003,0.0139,0.7019,-0.0026,-0.0002,0.0784,0.926,0.0579,-0.0002,0.0,0.9621,0.0051,0.0004,0.0733,0.9197,0.0242,0.0002,0.0066,0.8588,-0.0054,0.0035,0.0323,0.948,0.0065,0.0012,0.0011,0.9603,-0.003,0.0005,0.1007,0.9491,0.4469,-0.0003,-0.0008,0.9521,-0.0009,-0.0003,0.0478,0.9367,0.0261,-0.0006,-0.0011,0.6118,-0.0001,0.0019,0.0038,0.249,0.0176,-0.0007,0.0062,0.0674,0.0054,0.0,0.0002,0.0946,0.0001,0.0004,0.0329,0.9556,0.0144,-0.0001,0.0035,-0.0147,0.0759,0.0019,-0.002,0.2169,-0.0003,-0.0002,0.0082,0.9094,0.0084,-0.0,-0.0002,-0.0007,-0.0,-0.0003,0.0011,0.5515,0.0384,0.0002,0.0003
"{2: [0, 17]}",-0.0019,-0.0006,0.0,-0.0012,-0.0006,-0.0011,-0.0007,-0.0009,-0.0011,-0.0006,0.0002,-0.0006,-0.0004,-0.0022,-0.0002,-0.0005,-0.0002,-0.0015,-0.0009,0.0008,0.0023,0.0028,0.0013,0.0026,0.0,-0.0014,0.0004,-0.0001,0.0001,-0.0019,-0.0015,-0.0015,-0.0008,-0.005,-0.0004,0.0017,0.0025,0.0013,0.001,0.0014,-0.0002,0.0,-0.0003,0.0005,0.0009,-0.0028,-0.0022,0.0,-0.0008,-0.0014,-0.0012,-0.0006,-0.0005,-0.0027,-0.0029,-0.0003,-0.0007,-0.0023,0.0,-0.0002,-0.0005,-0.0003,-0.0005,0.0015,-0.0008,-0.0005,-0.0005,-0.0004,-0.0011,-0.0017,-0.0004,-0.0003,0.0005,0.0025,-0.0001,-0.0013,-0.0017,-0.0007,0.0028,-0.001,-0.0004,-0.0003,0.0016,-0.0003,0.0006,-0.0001,-0.0002,-0.0001,0.0007,-0.0002,0.0016,0.0012,0.0003,0.0005,-0.0001,0.0003
"{2: [0, 18]}",-0.0009,0.0045,-0.0008,-0.001,0.0018,0.0108,-0.0011,0.0019,0.0002,0.0205,-0.0018,0.0006,0.0053,0.0034,-0.0039,0.0025,0.0024,-0.0002,-0.0008,0.0018,-0.0006,0.0157,-0.0022,0.0045,0.0047,0.0085,0.0002,-0.0007,-0.0006,0.0057,0.0006,0.0006,0.0008,0.0024,-0.0003,0.0012,-0.0022,0.0016,-0.0017,0.002,0.0032,0.0115,-0.0006,0.0006,-0.0002,0.0104,-0.0045,0.0008,0.0079,0.0023,-0.0016,0.001,-0.0008,0.006,0.0019,-0.0014,0.0008,0.0037,-0.0019,0.0003,0.0,0.0001,0.0028,0.0022,0.001,0.0121,-0.0011,0.0001,0.0073,0.0085,-0.0034,0.0013,0.0006,0.006,-0.0002,0.0003,0.0034,0.0095,-0.0042,0.0007,0.0014,0.0014,0.0011,0.0009,0.0003,0.0065,-0.0002,0.0002,0.0007,0.0018,-0.0005,0.0009,0.0007,0.0047,-0.0004,0.0006
"{2: [0, 19]}",-0.0043,-0.002,-0.0021,-0.0028,-0.0007,-0.0047,-0.002,-0.0014,-0.0015,-0.0024,-0.0008,-0.0002,-0.0017,-0.0025,-0.0016,-0.0007,-0.0002,-0.0083,-0.004,-0.0008,-0.0013,0.0049,-0.005,-0.0004,0.002,0.0013,-0.0009,0.0006,0.0004,0.0002,0.0001,-0.0006,-0.0005,-0.0025,-0.002,-0.0007,-0.0036,0.0011,-0.0016,0.0004,-0.0018,-0.0057,-0.001,0.0,-0.0032,-0.0038,-0.0032,-0.0038,-0.0031,-0.004,-0.0033,0.0005,-0.0005,-0.0026,-0.003,-0.0024,-0.0005,-0.0008,0.0039,-0.0005,-0.0013,-0.0022,0.0028,0.0037,-0.0028,-0.0021,-0.0018,-0.0018,-0.0014,-0.0036,-0.003,-0.0023,-0.0006,0.0766,-0.0008,0.0002,0.0,0.002,-0.0065,-0.0012,-0.0003,-0.0008,-0.0003,-0.0008,-0.0014,0.0,-0.0013,-0.0009,0.0097,-0.0006,-0.0009,0.008,-0.002,-0.0009,-0.0004,-0.0013
"{2: [0, 20]}",-0.0035,-0.0002,0.0,0.0015,-0.0011,-0.0006,-0.0002,-0.0008,-0.0013,0.0001,0.0002,0.0009,0.0197,-0.0011,-0.0002,-0.0005,0.0052,-0.0002,-0.0005,0.0006,0.3834,0.0007,-0.0015,-0.0002,0.9786,-0.0003,-0.0002,-0.001,0.9485,-0.0006,-0.0002,-0.0006,0.5869,-0.0002,0.0001,-0.0009,0.9178,-0.0001,0.0005,0.0003,0.9388,-0.0002,0.0003,-0.002,0.9642,-0.0021,-0.0014,-0.0006,0.8185,-0.0007,-0.0003,-0.0004,0.9649,-0.0005,-0.0011,-0.0013,-0.0006,0.0002,0.0003,0.0001,0.4298,0.0001,-0.0002,0.0035,0.0012,0.0009,-0.0002,0.0001,0.0748,-0.0005,-0.0002,-0.0006,0.9513,0.0034,0.0,-0.0007,0.0031,0.0013,-0.0011,-0.0014,-0.0017,-0.0003,-0.0001,-0.0003,0.061,0.0001,0.0,0.0003,-0.0002,-0.0,0.0001,0.0,0.0006,0.0003,0.0001,0.0008
