,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
{0: [10]},0.0005,-0.001,-0.0,-0.0006,0.0001,-0.0019,-0.001,-0.0013,0.001,0.0026,-0.0001,-0.0004,-0.0008,0.0003,0.0004,-0.0015,0.0008,-0.0013,-0.0021,-0.0007,-0.0002,-0.0006,0.0004,0.0004,-0.0003,-0.0001,0.0013,-0.0035,0.001,0.0,0.001,0.535,-0.001,0.001,-0.0017,-0.0008,-0.0008,-0.0003,0.0019,0.0002,0.0008,0.0011,-0.0018,-0.0003,-0.0,-0.0,-0.0,0.0007,-0.0007,0.0003,-0.002,-0.0004,0.0002,-0.0003,-0.0002,0.0012,0.0006,0.0016,-0.0132,0.0387,0.0016,0.0007,-0.4698,-0.1158,-0.0012,0.0004,0.0005,-0.0008,-0.0006,0.0001,0.0001,-0.0039,-0.0003,-0.0005,-0.0031,-0.0014,0.0265,-0.0001,-0.0022,-0.0002,0.9557,0.013,-0.0009,-0.0001,0.0013,0.9349,-0.0077,-0.0028,0.0158,0.364,-0.0004,0.0122,0.941,0.9273,0.9617,0.9001
{0: [11]},0.0036,-0.0018,-0.0004,0.0132,0.0015,-0.001,0.0006,-0.0029,0.0021,-0.0001,0.0009,0.0008,0.0006,-0.0011,-0.0017,-0.002,0.7335,-0.0002,0.0134,-0.0022,0.012,0.002,0.0068,0.0031,-0.0025,0.0071,0.002,-0.0046,-0.0005,0.0017,-0.0024,0.6706,0.006,-0.0024,-0.0004,-0.0015,-0.0005,0.0008,0.0053,0.0012,0.0006,-0.0004,-0.0006,-0.0023,-0.0001,0.0001,-0.0007,0.0145,-0.0015,0.0008,0.0078,0.0,0.0001,0.0018,0.0034,-0.0014,0.0004,0.0001,-0.0106,0.5142,0.0015,0.0006,-0.4847,0.0211,-0.0009,0.0015,-0.0002,0.0071,-0.0011,-0.0014,-0.0009,-0.002,-0.0032,0.0028,-0.0043,0.0291,0.0822,0.0025,0.0028,0.0012,0.0435,0.0006,-0.0013,-0.0008,0.0012,-0.0,-0.0013,-0.0019,-0.0176,0.0007,-0.0,-0.0018,0.6206,-0.0001,0.0024,-0.0008
{0: [12]},0.0007,-0.0,0.0005,-0.0,-0.0002,0.0008,0.0,0.0009,0.0002,0.0005,0.001,0.0002,-0.0001,0.0011,0.0011,0.0001,0.0112,0.0042,0.0002,0.0083,0.0007,0.0003,0.0027,0.0007,-0.0005,0.0043,0.0218,0.5125,0.0007,0.0,-0.0005,-0.1179,-0.002,0.003,0.0026,-0.0008,-0.0004,-0.0,0.0023,0.0005,0.0041,-0.001,0.0007,0.001,-0.0007,0.0024,-0.0022,0.0281,-0.0007,-0.0003,0.0075,0.0015,-0.001,0.0032,0.0018,-0.0018,0.0001,0.0017,-0.0083,0.5032,0.0034,0.0045,0.3893,0.0485,0.0011,-0.0012,-0.0003,-0.0007,-0.0017,0.0009,0.0,-0.0012,-0.005,0.0016,0.1109,0.0091,-0.1026,0.0004,0.0046,0.002,0.9458,0.0004,-0.0019,-0.0004,-0.0003,0.0001,-0.0034,-0.0006,0.016,0.0003,-0.0001,0.0105,0.9391,-0.0013,0.0022,0.0004
{0: [13]},-0.0001,-0.0008,-0.0001,0.0001,-0.0002,-0.0005,-0.0001,-0.0002,0.0002,0.0003,-0.0001,-0.0,0.0003,0.0048,-0.0006,-0.0003,0.0025,-0.0004,-0.0007,-0.001,0.001,0.0007,0.0005,0.0002,0.0008,0.0001,0.0019,0.0039,-0.0001,0.0,0.0012,-0.124,-0.001,0.003,-0.0021,-0.0026,0.0001,-0.0001,0.0019,0.0002,0.0001,0.0006,0.0006,-0.0008,-0.0006,-0.0005,-0.001,0.0454,-0.0005,0.0009,0.0016,-0.0006,-0.0,0.0004,-0.0001,-0.0024,-0.0,0.0012,-0.0392,0.0953,0.0002,-0.0004,-0.3555,-0.0216,-0.0009,-0.0008,-0.0004,0.0002,0.0004,-0.0009,-0.0003,-0.0004,-0.0095,0.0032,0.0285,0.002,-0.0275,0.0001,-0.0003,-0.0002,0.0527,-0.0001,-0.0006,-0.0002,0.0003,-0.0001,-0.0081,-0.0002,0.011,-0.0,-0.0002,-0.0301,0.8116,-0.0006,0.9499,-0.0007
{0: [14]},0.0008,-0.0008,-0.0003,0.0001,-0.0008,-0.0009,-0.0,0.0001,0.001,0.0001,-0.0002,0.0001,-0.0008,-0.0015,0.0006,-0.0018,0.0018,0.0007,-0.0013,0.002,0.0002,0.0004,-0.0,-0.0005,-0.0003,-0.0006,0.0067,-0.004,-0.0006,-0.0001,-0.0009,-0.0165,-0.0,-0.0012,0.0011,-0.0004,-0.0004,-0.0001,-0.0006,0.0001,0.0001,-0.0,-0.0012,-0.0003,-0.0004,-0.0004,-0.0004,0.0056,0.0003,0.0009,-0.0032,-0.0008,0.0002,-0.0005,0.0002,-0.001,-0.0002,0.0003,-0.0002,-0.0156,0.0008,0.0001,0.1113,-0.6076,0.0003,0.0011,0.0008,0.0002,-0.0002,-0.0015,-0.0002,-0.0009,-0.004,0.0032,0.3009,-0.0019,0.0837,-0.0007,0.0013,0.0009,0.0021,-0.0003,0.0001,-0.0004,0.0001,0.001,-0.0012,-0.0,0.0034,0.1558,-0.0008,-0.0239,-0.0125,-0.0002,0.0019,0.0008
{0: [15]},-0.0006,0.0037,-0.0,0.0,0.0002,-0.0018,0.0012,0.0007,0.0019,0.0052,0.0001,-0.0001,-0.0001,0.0104,0.0022,0.0008,0.0003,-0.0007,-0.0003,0.0004,0.001,0.0004,-0.0001,0.0,-0.0,0.0004,-0.0003,-0.0031,0.0002,0.0001,-0.0007,-0.1381,0.0008,0.0002,0.0005,0.002,-0.001,-0.0004,0.0004,-0.0002,0.0003,0.0005,0.0006,-0.0001,-0.001,-0.0019,-0.0007,0.0006,0.0004,0.0003,0.007,0.0003,-0.0003,-0.002,-0.0009,-0.0005,-0.0002,0.0001,-0.0085,-0.0257,-0.0008,0.2302,-0.2682,-0.02,0.0024,0.0047,-0.0006,0.0,-0.0014,0.0039,0.0003,0.0013,-0.0089,0.0027,0.0099,0.0014,0.053,0.0009,0.001,-0.0008,0.1336,0.0009,-0.0015,0.0004,0.0001,0.3027,-0.001,0.0,0.0088,0.019,0.0003,-0.0015,0.0172,0.9285,0.0002,-0.0
{0: [16]},0.0002,-0.0008,0.0002,-0.0003,0.0003,0.0013,0.0001,0.0006,0.0013,0.001,0.0005,-0.0005,0.0007,0.0022,-0.0007,0.0008,0.0012,0.0001,0.0,0.0001,0.0003,0.0022,0.0008,0.0005,0.0,-0.0008,0.0013,-0.0012,0.0007,0.0001,-0.0,0.036,0.0008,0.0049,-0.0008,-0.0004,0.0016,0.0004,-0.0012,0.0,-0.0,-0.0003,0.0004,-0.0003,-0.0004,0.0003,-0.0014,0.0005,-0.0004,-0.0001,-0.0003,-0.0004,-0.0005,-0.0001,0.0001,-0.001,0.0054,0.0,-0.9139,0.009,-0.0002,-0.0003,-0.2037,-0.0176,0.0003,0.0009,-0.0002,-0.0009,0.0005,-0.0009,-0.0007,-0.0008,-0.0104,0.0003,0.0126,0.0014,-0.057,-0.0023,-0.0003,-0.0005,-0.0061,0.8522,-0.0,-0.0003,0.0004,0.36,-0.0028,-0.0007,-0.0055,0.9119,-0.0006,-0.3534,0.1084,-0.001,0.0086,-0.0004
{0: [17]},0.0005,-0.0006,0.0001,0.0012,0.0001,-0.0011,-0.0002,0.0008,0.0023,0.0001,0.001,0.0015,0.0002,0.0003,0.0017,-0.0017,-0.0002,-0.0003,0.0021,-0.0003,-0.0001,-0.0005,0.0024,0.0001,0.0001,0.0006,-0.0005,-0.0015,0.0001,0.0003,-0.0005,-0.0383,0.0005,-0.0007,0.0002,-0.0004,0.0008,-0.0002,-0.0006,0.0002,0.0,-0.0002,0.0011,0.0003,0.0001,0.0002,-0.0003,0.0003,0.0006,0.0003,0.006,-0.0,-0.0,0.0001,0.0003,-0.0005,0.5844,0.0001,-0.033,0.0434,0.0003,0.0004,0.3986,0.0302,-0.0002,0.0009,-0.0003,0.0003,-0.0016,-0.0011,-0.0002,0.0015,-0.0063,0.0009,-0.0114,0.0041,-0.0451,-0.0002,-0.0001,0.0006,0.9599,0.8425,-0.0014,-0.0003,0.0038,0.0086,0.9563,-0.0002,0.017,0.9652,-0.0006,0.0056,0.9349,0.9623,0.9607,0.0003
{0: [18]},-0.0004,-0.0008,0.0004,-0.0001,0.0013,-0.0012,0.0006,-0.0013,0.0004,0.0008,0.0002,-0.0001,0.0006,-0.0025,0.0007,-0.0017,-0.0001,-0.0022,0.0014,0.0002,0.001,-0.0,0.0004,0.0006,-0.0001,-0.0023,-0.0001,0.002,-0.0007,-0.0,-0.0003,-0.1358,-0.0006,-0.0022,-0.002,0.0007,-0.0004,-0.0002,-0.0006,0.0003,0.0026,-0.0003,0.0005,0.0001,-0.0005,0.0005,-0.0011,-0.0004,-0.0008,-0.0001,0.0018,0.0004,-0.0002,0.0007,-0.0002,0.0011,0.0002,0.0,-0.7543,-0.0718,-0.0001,-0.002,0.0966,0.0064,0.0006,-0.0005,-0.0008,-0.0005,-0.0004,-0.0023,0.0003,0.0017,-0.006,0.0008,-0.0056,0.0029,-0.069,-0.0007,0.0,0.0002,0.0112,0.001,-0.0019,-0.0002,0.0483,-0.0001,-0.0077,0.0007,0.0036,0.0017,0.0739,-0.1053,0.6399,-0.0003,0.9353,0.0006
{0: [19]},0.0063,0.0008,0.0004,0.0001,0.0017,-0.0001,0.0002,-0.0005,0.0043,0.0012,-0.0006,0.0002,0.001,-0.0001,0.0003,-0.0008,0.0011,0.0021,0.0017,-0.0011,0.0004,0.0001,0.0006,-0.0003,0.0,0.002,0.0018,-0.0018,0.0003,0.0,-0.0007,0.2668,0.0002,-0.001,0.004,-0.0004,-0.0004,0.0003,0.0003,-0.0002,0.0,0.0004,0.0004,0.0001,-0.0002,-0.0004,-0.0012,0.0004,-0.0004,0.0002,-0.0011,0.0005,-0.0004,0.0007,0.0002,0.0006,-0.0003,-0.0001,-0.0526,-0.0082,-0.001,-0.0002,0.0797,-0.0101,0.0024,0.0,-0.0004,-0.0,0.001,-0.0006,-0.0002,-0.002,0.0019,-0.0002,0.0041,0.005,0.0401,0.0015,0.0004,-0.0001,0.53,0.0004,0.0001,-0.0005,0.0004,-0.0002,-0.0035,-0.0032,0.0126,0.8778,-0.0007,0.0081,0.8959,0.0049,0.9609,-0.0001
