,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9616239667121267,0.9634639671296168,0.9611660323137299,0.8348061454535334
Precision_0,0.9804948885533394,0.9824544893130421,0.9744975232553604,0.8298711578529798
Recall_0,0.9707395045310835,0.9711000317043743,0.9764011572096628,0.9948739090612864
F1_0,0.9755928100518546,0.9767442632961401,0.9754484114753526,0.9049123384962143
Precision_1,0.8938388171295741,0.8957549501756114,0.9105156713411796,0.9233131865417237
Recall_1,0.9273129578678688,0.934721715782146,0.9038208141346504,0.23230889713925812
F1_1,0.9102682475442843,0.9148235752138459,0.9071558908083324,0.37121801514283725
Avg_F1,0.9102682475442843,0.9148235752138459,0.9071558908083324,0.37121801514283725
