,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9808198112944975,0.9820848931225472,0.9824810737844082,0.8950403921623201
Precision_0,0.9867844267689444,0.99097589845173,0.9887707913879104,0.9170297135714963
Recall_0,0.9889430035997089,0.9862827564964745,0.9890355722644444,0.9532638443876665
F1_0,0.9878625360100481,0.9886237577472086,0.9889031641022703,0.9347957880267398
Precision_1,0.9582474194628987,0.949521677595695,0.9588949413448846,0.7945635140731986
Recall_1,0.9503969359475182,0.9663631092043328,0.9579332503760934,0.6769826677149821
F1_1,0.9543060327143278,0.957868371772883,0.9584138546157277,0.7310755640337663
Avg_F1,0.9543060327143278,0.957868371772883,0.9584138546157277,0.7310755640337663
