,layer0,layer1,layer2
Acc,0.8964015151515151,0.9026515151515152,0.903314393939394
Precision_0,0.9744334689134224,0.9775711795467751,0.9769901220220801
Recall_0,0.978984238178634,0.9807625043721581,0.9796084828711256
F1_0,0.9767035527082121,0.9791642416482365,0.9782975504741955
Precision_1,0.7816,0.8248,0.7448
Recall_1,0.6160151324085751,0.6263669501822601,0.6537921348314607
F1_1,0.6889985895627645,0.7120165745856353,0.6963350785340314
Precision_2,0.18032786885245902,0.16188524590163936,0.35860655737704916
Recall_2,0.31654676258992803,0.2762237762237762,0.39149888143176736
F1_2,0.22976501305483027,0.20413436692506456,0.37433155080213903
Precision_3,0.09154929577464789,0.07042253521126761,0.04929577464788732
Recall_3,0.18571428571428572,0.24390243902439024,0.14583333333333334
F1_3,0.12264150943396226,0.1092896174863388,0.07368421052631578
Precision_4,0.04,0.0,0.25333333333333335
Recall_4,0.04918032786885246,0.0,0.3220338983050847
F1_4,0.044117647058823525,0.0,0.2835820895522388
