,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.945106336236294,0.9505452888096112,0.9518175200671528,0.949823100834164
Precision_0,0.964194490056559,0.966530269646417,0.9689356635675669,0.949823100834164
Recall_0,0.985166907886731,0.9858418062420331,0.9882091287338406,1.0
F1_0,0.9745678819460007,0.976090529651956,0.9784774960541507,0.9742659223063007
Precision_1,0.2786073971175551,0.4362643364281813,0.4423983631349524,1.0
Recall_1,0.21735302086155514,0.27052289352479003,0.33683283662963964,0.0
F1_1,0.24419754965375542,0.3339604498515824,0.3824649105941165,0.0
Precision_2,0.2935801041064199,0.42055276918151746,0.3307055184113362,1.0
Recall_2,0.18755542417972215,0.29123558971327224,0.2449009754655631,0.0
F1_2,0.22888578256752493,0.3441470549709645,0.28140788859168686,0.0
Precision_3,0.35389202762084115,0.5443748650399481,0.4420697412823397,1.0
Recall_3,0.14149463512580787,0.31637070966932296,0.24659597163832592,0.0
F1_3,0.20216056300147922,0.4001746101035755,0.3165908083940871,0.0
Precision_4,0.3621872690805447,0.4194898753894081,0.48408438397203846,1.0
Recall_4,0.20208505124278478,0.253799034044057,0.2284132406643892,0.0
F1_4,0.25942308419341426,0.316256880733945,0.3103765656889031,0.0
Avg_F1,0.38184697227243497,0.47412590506240465,0.45386353386458883,0.19485318446126015
