,layer0,layer1,layer2
Acc,0.9900219298245614,0.9896381578947369,0.9895285087719298
Precision_0,0.995600111389585,0.9937621832358674,0.9941520467836257
Recall_0,0.9942710940541744,0.995703125,0.9952051739518287
F1_0,0.9949351589024323,0.994731707317073,0.9946783316151682
Precision_1,0.6385964912280702,0.7298245614035088,0.6982456140350877
Recall_1,0.6973180076628352,0.65,0.6546052631578947
F1_1,0.6666666666666667,0.6876033057851241,0.6757215619694397
