,layer0
Acc,0.9414231601731602
Precision_0,0.9596351361057244
Recall_0,0.9813441057656996
F1_0,0.9703682184617619
Precision_1,0.6274509803921569
Recall_1,0.43243243243243246
F1_1,0.512
Precision_2,0.585635359116022
Recall_2,0.31547619047619047
F1_2,0.4100580270793036
Precision_3,0.7325581395348837
Recall_3,0.490272373540856
F1_3,0.5874125874125873
Precision_4,0.6480263157894737
Recall_4,0.7035714285714286
F1_4,0.6746575342465755
