,layer0
Acc,0.9327651515151515
Precision_0,0.9562594268476622
Recall_0,0.9767441860465116
F1_0,0.9663932641358787
Precision_1,0.46078431372549017
Recall_1,0.3321554770318021
F1_1,0.3860369609856263
Precision_2,0.6740331491712708
Recall_2,0.3630952380952381
F1_2,0.47195357833655704
Precision_3,0.6046511627906976
Recall_3,0.4581497797356828
F1_3,0.5213032581453634
Precision_4,0.5131578947368421
Recall_4,0.50814332247557
F1_4,0.5106382978723404
