,layer1_hidden_states,x_hidden_states
Acc,0.981095479704797,0.899854704797048
Precision_0,0.9887491230552035,0.9236454233898561
Recall_0,0.9876000645950124,0.9536127067617136
F1_0,0.9881742597911849,0.9383898763200497
Precision_1,0.9507033372694235,0.7871462030090112
Recall_1,0.955116096931724,0.685144660462545
F1_1,0.9529046084193713,0.732612055641422
Avg_F1,0.9529046084193713,0.732612055641422
