,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9667853941435324,0.970517500135818,0.9715972524039768,0.9739937591677079
Precision_0,0.9812566332972169,0.9816691380797716,0.9838361936505787,0.9739937591677079
Recall_0,0.9877194875351596,0.9899563486993418,0.9905129058330778,1.0
F1_0,0.9844774537652342,0.9857953268314138,0.9871632603286289,0.986825570895798
Precision_1,0.2397504185055547,0.32043464665415883,0.38368695960102694,1.0
Recall_1,0.20930541531593772,0.21783493649359623,0.3454854652707658,0.0
F1_1,0.2234958646029877,0.25935651238571295,0.36358552033668434,0.0
Precision_2,0.2390760754397118,0.4026808918068664,0.3225034308875626,1.0
Recall_2,0.15824169658886894,0.24775583482944344,0.2834661131059246,0.0
F1_2,0.19043600087774082,0.3067678574529793,0.3017273555187292,0.0
Precision_3,0.23232696652289997,0.3478439237852129,0.35068381302306595,1.0
Recall_3,0.15594584907221043,0.21040006617221318,0.18947310375251591,0.0
F1_3,0.18662355231464678,0.262202140636006,0.2460216593573794,0.0
Precision_4,0.25492746084041384,0.3536944696282865,0.35106852852240683,1.0
Recall_4,0.20216813348001467,0.2861202786945361,0.23682159882654932,0.0
F1_4,0.22550297824475293,0.3163389418203933,0.2828440429754328,0.0
Avg_F1,0.36210716996107245,0.4260921558253011,0.43626836770337085,0.1973651141791596
