,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states,layer0_bl_hidden_states,layer1_bl_hidden_states,layer2_bl_hidden_states
Acc,5.145943980778958,5.158352301466869,5.1497613176530095,4.827879994941831,4.833783826504805,4.841837379868488,4.83515901618614
Precision_0,0.9876254765139624,0.9893913876230104,0.9877690810411691,0.9298673866753928,0.9311274776949068,0.9314754608384538,0.9332543949812704
Recall_0,0.9895573133499861,0.9899405918348466,0.9901140583904947,0.9905518549357017,0.9879300318517638,0.9892533338619933,0.9869982686385684
F1_0,0.9885904511665369,0.9896659135352254,0.9889401796137932,0.9592508185273148,0.95868809988345,0.9594953827812914,0.9593742422514946
Precision_1,0.8924138846485697,0.895192180689473,0.8948671618818176,0.5811623246492986,0.6104565537555229,0.5942755498059509,0.5548462959852175
Recall_1,0.8668686738443685,0.8738959448133583,0.8620978660305589,0.1869640900006447,0.21378376635935786,0.23692863129392044,0.2129456514731481
F1_1,0.8794558179083001,0.8844158809904414,0.8781769225717475,0.28291302863274964,0.3166690540992217,0.3387877391103941,0.30777115169586283
Precision_2,0.8922242066217887,0.898115551874094,0.8966634496070591,0.506339144215531,0.5411652944901837,0.5719993051936773,0.5481448763250883
Recall_2,0.8643199361192441,0.8657838701091296,0.8655177002927869,0.17008251264306629,0.22744210806494544,0.2191243013042321,0.24773755656108598
F1_2,0.8780504292570811,0.8816533965780112,0.8808153314823594,0.2546323968918111,0.3202773613193403,0.3168631224440702,0.34124656278643445
Precision_3,0.8528836424957842,0.8625032628556513,0.8439745153856582,0.5382400575850279,0.5696763202725724,0.6067823980621719,0.5656903765690376
Recall_3,0.8441150944655852,0.8823686494425529,0.8312971493424127,0.1996795513719207,0.22324587756192002,0.20068095333466854,0.22564924227251484
F1_3,0.8484767145349618,0.8723228723228723,0.8375878653348132,0.291293338527464,0.32078277135594035,0.3016103948226559,0.32261143457096497
Precision_4,0.8669413797687093,0.8887011890065623,0.8934840425531915,0.5069867431028305,0.5757822685788787,0.6178874819682642,0.5551957195156294
Recall_4,0.8603086664028492,0.9021237303785781,0.8862946840786176,0.18665083762036672,0.23301675240733413,0.25425405619311436,0.26005803983643316
F1_4,0.8636122881355932,0.8953621575622689,0.8898748427256473,0.27284998071731587,0.3317682411494037,0.3602635390869586,0.35420409629895794
Avg_F1,0.8916371402004947,0.9046840441977638,0.8950790283456722,0.4121879126593311,0.4496371055614713,0.45540403564907406,0.45704149752074297
