,xenc,layer0,layer1,layer2
Acc,0.8527151639344263,0.9217652224824356,0.9248877829820453,0.9406103629976581
Precision,0.46883020027883127,0.7690675557044714,0.7823639900955912,0.8259118308436407
Recall,0.540255741309606,0.7256827221698436,0.7498829321428864,0.8010860247394217
F1,0.5020151346103608,0.7467455207966933,0.7657791892168402,0.8133095235318362
weights,"[[0.5070285797119141, -1.7982323169708252, -1.6284255981445312, 0.6031355857849121, -1.0351805686950684, 0.13166238367557526, -1.590216875076294, 0.8847995400428772, -0.05543513596057892, 2.1203737258911133, -2.1155927181243896, 0.29429692029953003, -4.166083335876465, -1.6179906129837036, -2.624896764755249, -1.188755989074707, 0.942214846611023, 0.02024487592279911, -1.514758825302124, 1.1992448568344116, -0.24602001905441284, -1.9935634136199951, 1.7476000785827637, -1.7660945653915405, -2.150092363357544, 1.1881780624389648, 0.4131160378456116, -0.771287739276886, 0.49129700660705566, 0.04047391191124916, 1.9698506593704224, 3.0316073894500732], [-0.47984233498573303, 1.7176475524902344, 1.7881174087524414, -0.5351085066795349, 1.2269630432128906, -0.0780419409275055, 1.6230168342590332, -0.9021241068840027, -0.12351486086845398, -1.9628061056137085, 2.152583360671997, -0.5632623434066772, 4.0421271324157715, 1.577166199684143, 2.3589749336242676, 1.4513384103775024, -1.1408535242080688, 0.1547500491142273, 1.6254281997680664, -1.098650574684143, 0.19761012494564056, 1.7002071142196655, -1.8899668455123901, 1.8030000925064087, 1.8146487474441528, -1.3272383213043213, -0.5871948599815369, 0.9376717805862427, -0.2935608923435211, 0.06405231356620789, -1.8210303783416748, -2.871499538421631]]","[[-0.46716442704200745, 0.5920348167419434, -0.43819764256477356, -0.3644375205039978, -0.12047841399908066, -0.43580418825149536, -0.053720295429229736, 0.6913731098175049, -0.6209132075309753, -0.2754274904727936, 0.6599125266075134, 0.44343307614326477, -0.5685604214668274, -0.5241535902023315, 0.15627573430538177, 0.28124120831489563, 0.0775192454457283, 0.2797912359237671, -0.14066869020462036, -0.21098695695400238, 0.8975198268890381, -0.20258793234825134, -1.3872898817062378, 0.0879298523068428, 0.5173237323760986, 1.6402442455291748, -0.10967648029327393, -0.7544609904289246, 0.07192698866128922, 0.35241249203681946, 0.30597391724586487, -0.024339960888028145], [0.5967912673950195, -0.7797232270240784, 0.40542709827423096, 0.41375529766082764, -0.09952347725629807, 0.5417196154594421, 0.10443702340126038, -0.6937626004219055, 0.64400315284729, 0.3605928122997284, -0.4386788308620453, -0.4674476385116577, 0.5961081981658936, 0.49922361969947815, -0.4357377588748932, -0.10526605695486069, 0.051566798239946365, -0.01856098882853985, 0.13557806611061096, 0.1133887842297554, -1.1052966117858887, 0.43436893820762634, 1.0996426343917847, -0.020886385813355446, -0.5440647006034851, -1.608430027961731, 0.04246751591563225, 0.7085098624229431, -0.18617244064807892, -0.34876149892807007, -0.2030426412820816, -0.0012579404283314943]]","[[-0.3132327198982239, 0.5199906229972839, 0.8658084869384766, -0.1316891759634018, 0.9962595105171204, 0.23367875814437866, 0.12643863260746002, -0.29849088191986084, 0.5949645042419434, 0.24729008972644806, -0.40769386291503906, -0.7867478132247925, 0.4626328945159912, 0.24112221598625183, -0.6087890863418579, -0.12920279800891876, 0.05912555754184723, -0.37814828753471375, -0.03125491738319397, -0.5541588664054871, -0.21684996783733368, -0.13556581735610962, 0.26997172832489014, 0.4469565749168396, 0.299829363822937, -0.18777582049369812, 0.05320614203810692, 1.1123007535934448, -0.1765032261610031, 0.2660731375217438, 0.14518417418003082, 0.4152107536792755], [0.29505518078804016, -0.4789755642414093, -1.1006383895874023, 0.06805165112018585, -0.8963078856468201, -0.17620736360549927, -0.26407232880592346, 0.432527631521225, -0.7435415983200073, -0.10195164382457733, 0.23809809982776642, 0.7056702375411987, -0.43362072110176086, -0.16243775188922882, 0.6042550802230835, -0.19186405837535858, -0.10673114657402039, 0.5233213901519775, 0.03153299167752266, 0.5325110554695129, 0.046281974762678146, -0.08120330423116684, -0.20842398703098297, -0.5339893102645874, -0.04349234700202942, 0.3092646896839142, -0.16423538327217102, -1.092104196548462, 0.0178946852684021, -0.19756847620010376, -0.3057368993759155, -0.610139012336731]]","[[-0.10030855983495712, 0.8038197755813599, 0.037050582468509674, -0.2867845594882965, -0.5189307928085327, -0.3153753876686096, 0.03631289675831795, -0.6189401149749756, 0.1731381118297577, 0.3331061899662018, 0.5293659567832947, -0.07849583029747009, 0.1506342589855194, -0.5405003428459167, -1.4968327283859253, 0.019512562081217766, -0.5435044765472412, -0.4019864499568939, -0.17021124064922333, -0.024465562775731087, -0.00671964418143034, 0.06418793648481369, -0.05420587211847305, 0.8215413689613342, 0.020385077223181725, -0.44096237421035767, 0.2356899380683899, 0.003963757306337357, 0.3252456784248352, -0.18702146410942078, 0.3231421411037445, 0.17088675498962402], [0.11164193600416183, -1.0202118158340454, 0.027929067611694336, 0.5800139307975769, 0.3491007685661316, 0.538338840007782, 0.019573749974370003, 0.6580583453178406, -0.04885033518075943, -0.5609822869300842, -0.5533743500709534, 0.2062423974275589, -0.0016313086962327361, 0.2822175621986389, 1.2522650957107544, 0.10440190136432648, 0.7226284742355347, 0.11388672143220901, 0.11835689097642899, 0.18936669826507568, 0.10853248089551926, -0.30806857347488403, 0.14191728830337524, -0.5272734761238098, -0.14747411012649536, 0.4713636338710785, -0.23230144381523132, 0.13874904811382294, -0.21339567005634308, 0.20624063909053802, -0.27093806862831116, -0.40375304222106934]]"
