,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9951736406117248,0.9918542905692438,0.9908846644010195,0.9951943500424809
Precision_0,0.9952689898964149,0.9954321033058886,0.9957153410752908,0.9951943500424809
Recall_0,0.9999135608142358,0.9964874743216925,0.9953317503935117,1.0
F1_0,0.9975858693239317,0.9959595092322268,0.9955235087835397,0.9975913875470744
Precision_1,0.4,0.04091954022988506,0.07987616099071207,1.0
Recall_1,0.027457440966501923,0.04887424492037342,0.07084019769357495,0.0
F1_1,0.051387461459403906,0.04454454454454455,0.07508731082654249,0.0
Precision_2,0.09803921568627451,0.017034700315457414,0.02237136465324385,1.0
Recall_2,0.003121098626716604,0.016853932584269662,0.031210986267166042,0.0
F1_2,0.006049606775559589,0.016943834326953247,0.026062027625749284,0.0
Precision_3,0.425,0.016341923318667503,0.06746884400515686,1.0
Recall_3,0.014249790444258172,0.010896898575020955,0.06580050293378038,0.0
F1_3,0.027575020275750203,0.013075182298214735,0.0666242308508381,0.0
Precision_4,0.7083333333333334,0.08820093457943926,0.08261474269819194,1.0
Recall_4,0.010490589324282628,0.04659055846960815,0.09163838321505709,0.0
F1_4,0.020674977196716328,0.060973147587320815,0.0868929198361615,0.0
Avg_F1,0.2206545870062723,0.226299243597852,0.2500379995845662,0.1995182775094149
