,layer0
Acc,0.9393262987012987
Precision_0,0.9567411679884643
Recall_0,0.9806384865503991
F1_0,0.9685424421575067
Precision_1,0.6788990825688074
Recall_1,0.4192634560906516
F1_1,0.5183887915936953
Precision_2,0.675392670157068
Recall_2,0.34864864864864864
F1_2,0.45989304812834225
Precision_3,0.6918918918918919
Recall_3,0.512
F1_3,0.5885057471264368
Precision_4,0.6625
Recall_4,0.7598566308243727
F1_4,0.7078464106844741
