,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9644409354423132,0.9680177318923562,0.9680982500715717,0.9306541654738048
Precision_0,0.9801648232978336,0.9837869085778519,0.9824238256667177,0.9361747529304784
Recall_0,0.9807153475825269,0.9809718133756018,0.9824707353332086,0.9912698256426412
F1_0,0.9804400081593263,0.9823773442504721,0.9824472799400051,0.9629348562597161
Precision_1,0.8069377436316955,0.8158171846783531,0.8254095105484819,0.790133244976688
Recall_1,0.8024257571302558,0.8390571400568461,0.8250171518180928,0.3272125845339606
F1_1,0.8046754255133557,0.8272739791222251,0.825213284545234,0.46277801265568363
Avg_F1,0.8046754255133557,0.8272739791222251,0.825213284545234,0.46277801265568363
