,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states,layer0_bl_hidden_states,layer1_bl_hidden_states,layer2_bl_hidden_states
Acc,0.973404255319149,0.9694148936170213,0.9700797872340425,0.9152260638297872,0.9125664893617021,0.9138962765957447,0.9142287234042553
Precision_0,0.9897435897435898,0.9850746268656716,0.9847439157282964,0.936360509115927,0.9158597662771285,0.9165832499165832,0.9166110740493663
Recall_0,0.9829028737722808,0.9843579483448527,0.9861767915605675,0.9901782466351401,0.9978173881411422,0.9992724627137141,0.9996362313568571
F1_0,0.9863113706880817,0.9847161572052402,0.985459832788077,0.9625176803394625,0.95508356545961,0.956143404107205,0.9563250391508613
Precision_1,0.9,0.847457627118644,0.9047619047619048,0.34146341463414637,0.5,0.5,0.0
Recall_1,0.8513513513513513,0.6756756756756757,0.7702702702702703,0.1891891891891892,0.02702702702702703,0.02702702702702703,0.0
F1_1,0.875,0.7518796992481203,0.8321167883211679,0.24347826086956523,0.05128205128205128,0.05128205128205128,0.0
Precision_2,0.8301886792452831,0.7647058823529411,0.74,0.1111111111111111,1.0,1.0,1.0
Recall_2,0.88,0.78,0.74,0.02,0.0,0.0,0.0
F1_2,0.8543689320388349,0.7722772277227723,0.74,0.03389830508474576,0.0,0.0,0.0
Precision_3,0.82,0.9148936170212766,0.7166666666666667,0.2647058823529412,0.0,0.0,0.0
Recall_3,0.8913043478260869,0.9347826086956522,0.9347826086956522,0.1956521739130435,0.0,0.0,0.0
F1_3,0.8541666666666666,0.9247311827956989,0.8113207547169812,0.225,0.0,0.0,0.0
Precision_4,0.7428571428571429,0.75,0.8536585365853658,0.4117647058823529,1.0,1.0,1.0
Recall_4,0.8764044943820225,0.8764044943820225,0.7865168539325843,0.07865168539325842,0.0,0.0,0.02247191011235955
F1_4,0.8041237113402062,0.8082901554404145,0.8187134502923976,0.1320754716981132,0.0,0.0,0.04395604395604396
Avg_F1,0.8747941361467578,0.8483788844824494,0.8375221652237247,0.31939394359837736,0.20127312334833225,0.20148509107785126,0.20005621662138107
