,layer0,layer1,layer2
Acc,0.9850398936170213,0.9823803191489362,0.988031914893617
Precision_0,0.9925700776764607,0.9932455251604188,0.9979736575481256
Recall_0,0.9922349763673194,0.9889038332212509,0.9899497487437185
F1_0,0.9924024987337497,0.9910699241786015,0.9939455095862766
Precision_1,0.5106382978723404,0.2978723404255319,0.3617021276595745
Recall_1,0.5217391304347826,0.4117647058823529,0.7391304347826086
F1_1,0.5161290322580645,0.345679012345679,0.4857142857142858
