,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.967024094094638,0.9708341256043896,0.9717230537295594,0.9739937591677079
Precision_0,0.9810706542356267,0.9815979855655231,0.9836848563304426,0.9739937591677079
Recall_0,0.9881104545414138,0.9903527191729139,0.9907375854902609,1.0
F1_0,0.9845779707850811,0.985955918475574,0.9871986245714052,0.986825570895798
Precision_1,0.24080195898377715,0.3193652271757265,0.3807666753329289,1.0
Recall_1,0.20903969814529416,0.21871180315671998,0.35024180262528565,0.0
F1_1,0.2237994993172508,0.25962433169839294,0.3648669222571314,0.0
Precision_2,0.23814741455602847,0.40516099566110986,0.3194448865264029,1.0
Recall_2,0.1585222172351885,0.24884986535008977,0.28153052064631956,0.0
F1_2,0.19034306212843358,0.3083259475522653,0.29929173190188624,0.0
Precision_3,0.22289554869986777,0.35382488479262675,0.35695916058018723,1.0
Recall_3,0.1673329840910971,0.21169593868041578,0.19134798312608564,0.0
F1_3,0.1911586374159409,0.26490020528213354,0.24914289817091778,0.0
Precision_4,0.2666878016133009,0.36622047967654,0.3615187777526906,1.0
Recall_4,0.173519435276861,0.27401906857352404,0.22018243491015768,0.0
F1_4,0.2102442343205454,0.31348077452509865,0.27368031222402645,0.0
Avg_F1,0.36002468079345035,0.42645743550669285,0.43483609782507343,0.1973651141791596
