,xenc,layer0,layer1,layer2
Acc,0.91974043715847,0.9581381733021077,0.9331088992974239,0.9392930327868853
Precision,0.558393841824753,0.8163081973971881,0.6927416390531136,0.7389278755743053
Recall,0.7914950497503157,0.7147231205779192,0.4760640868369213,0.5522595194726339
F1,0.6548182807840739,0.7621455359498275,0.5643186177216937,0.6321002746077226
weights,"[[-3.2613816261291504, -3.6065967082977295, -2.3846001625061035, 3.10536789894104, -1.2277452945709229, 0.27730226516723633, -2.072244167327881, -0.17345254123210907, 2.255903482437134, 2.091683864593506, -0.7090493440628052, 1.0264524221420288, -4.449417591094971, -4.592155456542969, 0.34231892228126526, -3.4615042209625244, 1.6414391994476318, -1.8487470149993896, -2.8163251876831055, -0.31375977396965027, -0.6417329907417297, -2.0766818523406982, 3.3766989707946777, -2.1027462482452393, -0.7306311726570129, 1.7614449262619019, 0.6372206211090088, -4.786296367645264, 1.4650628566741943, 2.035933256149292, 2.7472944259643555, 2.970374822616577], [3.305992841720581, 3.426600217819214, 2.314366579055786, -3.3061141967773438, 1.152500033378601, -0.08653917163610458, 1.9819821119308472, 0.10885908454656601, -2.4404664039611816, -2.22359299659729, 0.7053268551826477, -1.054461121559143, 4.321971416473389, 4.29335355758667, -0.49563339352607727, 3.510925769805908, -1.654794692993164, 1.773535966873169, 2.941511869430542, 0.44089460372924805, 0.5936038494110107, 2.096781015396118, -3.270122528076172, 2.0155105590820312, 0.9633461833000183, -1.9226815700531006, -0.5900464057922363, 4.812893390655518, -1.1420978307724, -2.208221673965454, -2.7728614807128906, -2.9739201068878174]]","[[-0.40417271852493286, -0.7021682858467102, -0.13953597843647003, 0.2459346055984497, 0.4430067837238312, 0.8259908556938171, -2.5376040935516357, -0.004471863154321909, -0.7991477251052856, -0.011244776658713818, -0.2581688165664673, 0.44461220502853394, 0.1062665656208992, -0.45067813992500305, 0.7552462220191956, 0.1026049554347992, 0.05010870099067688, -0.9388995170593262, -0.38212528824806213, -0.024321939796209335, -0.15530811250209808, -0.7185340523719788, -0.3664933443069458, 0.06972534209489822, -0.23520556092262268, 0.3177699148654938, -0.4626716077327728, -0.075972780585289, 0.31329596042633057, 0.14160968363285065, 0.047505009919404984, -2.234224557876587], [0.524627149105072, 0.6721487045288086, -0.06029866263270378, -0.2943480908870697, -0.4547276794910431, -0.6700279116630554, 2.6315574645996094, -0.03464005887508392, 0.8255330324172974, 0.3063218295574188, -0.013978376984596252, -0.1227155551314354, -0.12651218473911285, 0.21614252030849457, -0.45371049642562866, -0.06244295835494995, -0.13249337673187256, 0.6848824620246887, 0.4767304062843323, 0.11324597150087357, 0.09790323674678802, 0.6970365047454834, 0.5022013783454895, 0.1961563527584076, 0.12874232232570648, -0.2286292314529419, 0.4681249260902405, 0.25785502791404724, -0.5165565609931946, -0.340292751789093, 0.10337553918361664, 2.19427752494812]]","[[0.3060312569141388, 0.06116686761379242, 0.5766976475715637, -1.570344090461731, -1.0345908403396606, -0.18782825767993927, -0.036417972296476364, -0.16384044289588928, 0.5161795020103455, -0.522118866443634, -0.5703688263893127, -2.6266889572143555, -0.11824937164783478, -0.3049952983856201, 0.06388353556394577, 0.05545207858085632, 0.274841845035553, -0.3256588280200958, 1.1664339303970337, 0.9762514233589172, 0.06658616662025452, 0.10180321335792542, -0.16130873560905457, 0.22945789992809296, -0.2128763645887375, -0.15602172911167145, 0.11785358935594559, -0.8778440952301025, 0.2546367347240448, 0.20042240619659424, 0.3777424097061157, 0.22610612213611603], [-0.411896675825119, -0.028200171887874603, -0.4398035407066345, 1.680694818496704, 0.9873977303504944, 0.4043940007686615, -0.17949968576431274, -0.1134321317076683, -0.6006404757499695, 0.5496683716773987, 0.5480093955993652, 2.787161111831665, -0.0037717726081609726, 0.25525781512260437, -0.012012316845357418, -0.20271573960781097, -0.11850407719612122, 0.4372066557407379, -1.062064528465271, -1.0054696798324585, -0.12292931228876114, -0.001534736598841846, 0.1612059473991394, -0.178930401802063, 0.026472335681319237, 0.2167876958847046, -0.2784484028816223, 0.6802604794502258, -0.19465963542461395, -0.1770632416009903, -0.3467535674571991, -0.0583345927298069]]","[[0.32155054807662964, -0.023281443864107132, -1.4178160429000854, -0.17469674348831177, 0.05164206400513649, 0.2878614664077759, -0.1949455291032791, 1.4291226863861084, 1.246713399887085, -0.8515602350234985, -0.7992838621139526, -0.17778389155864716, -1.5777066946029663, 0.18601126968860626, -0.015378784388303757, -0.31669580936431885, 0.9950411915779114, -2.095998764038086, 1.0963490009307861, 1.4072558879852295, 0.37806421518325806, 0.7178815603256226, -0.10679882019758224, 0.5248425006866455, -0.1919894814491272, -0.309874564409256, -0.19971108436584473, 0.027673931792378426, -0.4385072886943817, -0.19631534814834595, 0.8845811486244202, -3.1842336654663086], [-0.02701425552368164, -0.07118571549654007, 1.3246411085128784, -0.06311102956533432, -0.0982639491558075, -0.16240963339805603, 0.43930596113204956, -1.4185419082641602, -1.2408392429351807, 0.7488002777099609, 0.8094906806945801, 0.21038898825645447, 1.7511322498321533, 0.024557869881391525, -0.078531414270401, 0.23819772899150848, -1.33016037940979, 2.1121628284454346, -1.1087368726730347, -1.4845285415649414, -0.4337685704231262, -0.5931711792945862, 0.20065900683403015, -0.6285939812660217, 0.23439931869506836, 0.12639424204826355, 0.17362670600414276, -0.03417014330625534, 0.28477394580841064, 0.18788671493530273, -0.908861517906189, 3.186267852783203]]"
