,layer0,layer1,layer2
Acc,0.952686403508772,0.9517543859649122,0.9089364035087719
Precision_0,0.975084663763909,0.9736937590711175,0.9456942428640542
Recall_0,0.9798845335764206,0.9779518950437318,0.963702471189992
F1_0,0.9774787063138431,0.9758181818181818,0.9546134358880444
Precision_1,0.8208333333333333,0.7916666666666666,0.6020833333333333
Recall_1,0.7710371819960861,0.7676767676767676,0.5579150579150579
F1_1,0.7951564076690212,0.7794871794871795,0.5791583166332664
Precision_2,0.6899696048632219,0.5258358662613982,0.47416413373860183
Recall_2,0.6005291005291006,0.49008498583569404,0.3851851851851852
F1_2,0.6421499292786422,0.5073313782991202,0.4250681198910081
Precision_3,0.6713426853707415,0.8797595190380761,0.5591182364729459
Recall_3,0.7427937915742794,0.8267419962335216,0.49119718309859156
F1_3,0.7052631578947368,0.8524271844660195,0.5229615745079663
Precision_4,0.75,0.6742424242424242,0.547979797979798
Recall_4,0.6674157303370787,0.672544080604534,0.4157088122605364
F1_4,0.7063020214030915,0.6733921815889028,0.4727668845315905
