,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9646587818494131,0.9679891032064128,0.9683366733466934,0.9306541654738048
Precision_0,0.9806651134027116,0.9838881627449131,0.9828889659493476,0.9361747529304784
Recall_0,0.9804391915174309,0.9808354582418556,0.9822561113681786,0.9912698256426412
F1_0,0.9805521394468169,0.9823594389117829,0.9825724367566375,0.9629348562597161
Precision_1,0.8057136431197685,0.8149294315064911,0.8244809317907367,0.790133244976688
Recall_1,0.8075615015191611,0.8401009507007743,0.829765755170048,0.3272125845339606
F1_1,0.8066365140434864,0.8273237730531365,0.8271149017653897,0.46277801265568363
Avg_F1,0.8066365140434864,0.8273237730531365,0.8271149017653897,0.46277801265568363
