,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,4.539092432950191,4.366469109195402,4.648916427203065,3.0033225574712645
Precision_0,0.9408732353184214,0.9741552625376093,0.9536897495792831,0.989921130799959
Recall_0,0.9552453599731536,0.9068251632721547,0.980129843310359,0.6236996308629547
F1_0,0.9480048290150794,0.9392851652061149,0.9667290457276708,0.7652522309233291
Precision_1,0.3591989987484355,0.09219739913304435,0.48894736842105263,1.0
Recall_1,0.5727113993514592,0.27587927163881265,0.4634572212521826,0.0
F1_1,0.44149600999903854,0.13820681037175883,0.4758611858112434,0.0
Precision_2,0.45786726323639076,0.16700498246909024,0.22136498516320474,0.03781246622508376
Recall_2,0.3419660261765525,0.25201893622946253,0.10387078808131439,0.6819827346143136
F1_2,0.39151920930974016,0.2008879023307436,0.14139499620924942,0.07165218408964569
Precision_3,0.01358695652173913,0.3265171503957784,0.21070234113712374,0.14293948126801154
Recall_3,0.004311273981461522,0.5335201552058634,0.12222461737443414,0.2672989868506144
F1_3,0.006545573555882834,0.4051068008838694,0.15470668485675307,0.18627009163286765
Precision_4,0.024039962535123322,0.4756963407973785,0.17453347969264543,1.0
Recall_4,0.019860717049264894,0.2246582409079185,0.16404436419912302,0.0
F1_4,0.02175141242937853,0.30518570427470215,0.16912644595133625,0.0
Avg_F1,0.3618634068618239,0.3977344766134378,0.3815636717112506,0.20463490132916848
