,layer0,layer1,layer2
Acc,0.9726325757575758,0.9767045454545454,0.9720643939393939
Precision_0,0.9764705882352941,0.9814117647058823,0.9830588235294118
Recall_0,0.9893908689951126,0.9895610913404508,0.9822499118373105
F1_0,0.9828882704719047,0.9854695806261076,0.9826542012112659
Precision_1,0.9567961165048544,0.9572815533980582,0.9266990291262136
Recall_1,0.9078765545831414,0.9258215962441314,0.9298587433024842
F1_1,0.9316946348380997,0.9412887828162292,0.9282761974228058
