,layer0
Acc,0.9120670995670995
Precision_0,0.932462229481421
Recall_0,0.9602220166512488
F1_0,0.9461385482267153
Precision_1,0.8137061835368256
Recall_1,0.7141375734531628
F1_1,0.7606774668630338
