,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states,layer0_bl_hidden_states,layer1_bl_hidden_states,layer2_bl_hidden_states
Acc,5.146331246838645,5.159197964087,5.149437278705109,4.828180323722813,4.83372059939302,4.842912240768841,4.835467248356095
Precision_0,0.9879047623760906,0.9900864398962523,0.988074190377549,0.9300698324239034,0.931220136678233,0.9331995180151214,0.933203910182624
Recall_0,0.9893491534832084,0.9894730581658142,0.9897522567172858,0.9903618677557062,0.9878160395437664,0.9877450008590725,0.9871221733211741
F1_0,0.9886264303631965,0.9897796540005106,0.9889125116784249,0.9592694145763442,0.9586835295287142,0.9596978462071866,0.9594060924179159
Precision_1,0.8904960042269335,0.8883265200181688,0.8908294043429179,0.5866205774705164,0.6054433713784021,0.5933302454840204,0.5525855210819411
Recall_1,0.8692540777512733,0.8825994455547675,0.8648700921926374,0.18599703436271034,0.22229385597318033,0.24775965443878536,0.2239056153697376
F1_1,0.879746835443038,0.8854537222689347,0.8776578344782466,0.2824416270987322,0.32519098368386307,0.34955430234673457,0.318682327032483
Precision_2,0.8899420388680532,0.8947942962407041,0.8923381319506039,0.5010082493125573,0.540377597969221,0.5594249201277955,0.5585251972307197
Recall_2,0.8684455682725579,0.8727042853340431,0.8703087569869576,0.18186052701623637,0.22664359861591696,0.2330316742081448,0.23083577322331647
F1_2,0.8790624052807059,0.8836112514738084,0.8811857840660267,0.2668554410974955,0.31934742862500587,0.32901164975573094,0.32666321389895947
Precision_3,0.8550135501355014,0.8548614674191893,0.8452478213507625,0.5550789627607721,0.5646213007858217,0.5881763527054108,0.5612493899463152
Recall_3,0.8425128513251886,0.8898457840977368,0.828827024500968,0.19006609252954135,0.2254489618799653,0.23512918085319448,0.2303224514320048
F1_3,0.8487171727361378,0.8720028785450263,0.8369568881248526,0.283170877262781,0.3222328244274809,0.3359565030762627,0.32661175802328885
Precision_4,0.863090156937422,0.8910035725885027,0.8878541448058762,0.49924229668294323,0.5819381024860477,0.6100380228136882,0.5550679501698754
Recall_4,0.8669041023611661,0.9046959504023216,0.8928901200369345,0.19555467616409444,0.22694895132568263,0.26454293628808867,0.25860704392560346
F1_4,0.8649929255371656,0.8977975586608633,0.8903650115093719,0.28102933510260175,0.32654804270462634,0.3690481667203386,0.35283001889678756
Avg_F1,0.8922291538720486,0.9057290129898286,0.8950156059713846,0.4145533390275909,0.45040056179393806,0.4686536936212507,0.4568386820538869
