,layer0
Acc,0.9173430735930735
Precision_0,0.9451333813987023
Recall_0,0.9697440449770676
F1_0,0.9572805608295604
Precision_1,0.536697247706422
Recall_1,0.3305084745762712
F1_1,0.40909090909090906
Precision_2,0.5026178010471204
Recall_2,0.2823529411764706
F1_2,0.3615819209039548
Precision_3,0.7243243243243244
Recall_3,0.4110429447852761
F1_3,0.5244618395303327
Precision_4,0.33125
Recall_4,0.43089430894308944
F1_4,0.37455830388692574
