,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.981158320687911,0.9843117728882145,0.9809607359635811,0.9508014036418816
Precision_0,0.9794465933767644,0.9847947418354003,0.9765231690348695,0.9409631645682073
Recall_0,0.9818285403309468,0.9797452424278499,0.984685634598051,0.9907229468886584
F1_0,0.9806361204297422,0.9822635027131171,0.9805874159035002,0.9652021555527021
Precision_1,0.8024223372781065,0.7964972234087997,0.8220179859669928,0.7765717796436616
Recall_1,0.7817510358493965,0.839758602053684,0.7492343721851918,0.3415600792649973
F1_1,0.7919518204215713,0.8175560135046258,0.7839404363602093,0.47444479199249295
Avg_F1,0.7919518204215713,0.8175560135046258,0.7839404363602093,0.47444479199249295
