,layer0,layer1,layer2
Acc,0.9417449421965318,0.9586343930635838,0.9543894508670521
Precision_0,0.9699217140502678,0.9821796456530696,0.9820766378244746
Recall_0,0.9638652881564131,0.9709775967413442,0.9664470349721237
F1_0,0.9668840170457462,0.9765464973371568,0.9741991518929138
Precision_1,0.7412023460410557,0.7910557184750733,0.7573313782991202
Recall_1,0.7759017651573292,0.8618210862619808,0.855840927920464
F1_1,0.7581552305961755,0.8249235474006116,0.8035783741734733
