,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9552684353841625,0.9656023084093808,0.9579147654793445,0.9134913771955647
Precision_0,0.9778255955122033,0.9811894914935614,0.9796422231142478,0.9392529688129365
Recall_0,0.984532301928657,0.9856181093799263,0.9834279480768225,0.9946889852927043
F1_0,0.9811674880406492,0.9833988145254695,0.9815314352641047,0.9661764465043153
Precision_1,0.6408272272820653,0.8009104488228181,0.7794226498889711,1.0
Recall_1,0.6519437090706424,0.7844503274348613,0.8069527657795736,0.0
F1_1,0.6463376731014954,0.7925949389364023,0.7929488276570255,0.0
Precision_2,0.7497585318737927,0.8297120129630994,0.7181985972683647,1.0
Recall_2,0.6597492740279056,0.7978610383171613,0.6890006374389122,0.0
F1_2,0.7018799683532382,0.813474870017331,0.7032967032967034,0.0
Precision_3,0.7929511816174667,0.8153969878637227,0.7119490093687606,1.0
Recall_3,0.6598843143926506,0.7589656345695814,0.6308948621980265,0.0
F1_3,0.7203238746100133,0.7861699503048672,0.6689757188728939,0.0
Precision_4,0.6804280377382385,0.7625280973158799,0.7089043320127297,0.24237899713823566
Recall_4,0.6737726503229042,0.7231801366856856,0.6843689259514704,0.36641795723869836
F1_4,0.6770839896666877,0.7423330651649236,0.6964205959293052,0.291762356465302
Avg_F1,0.7453585987544168,0.8235943277897988,0.7686346562040065,0.25158776059392346
