,xenc,layer0,layer1,layer2
Acc,0.8743779274004684,0.9428669008587042,0.9439524785323966,0.9457211163153786
Precision,0.2251333721008389,0.4775688858613142,0.5074617030120543,0.5215625145953019
Recall,0.5060391685684427,0.4540115492106124,0.5120074305086019,0.5601208423807957
F1,0.3116263210066272,0.46549236450621834,0.509724432251203,0.5401544419543511
weights,"[[-0.7016739845275879, -1.1097725629806519, -0.5725431442260742, 1.2115528583526611, -0.536491334438324, -0.8270298838615417, -2.1585533618927, 1.1292314529418945, 0.5065433382987976, 3.631500244140625, -2.588252305984497, 1.6947388648986816, -4.8426642417907715, -1.1225999593734741, -0.9960325956344604, -2.592653512954712, 0.9094117283821106, -0.3753146827220917, -2.819366693496704, -0.7963710427284241, 0.3681569993495941, -1.9415497779846191, 2.0839970111846924, -1.8064454793930054, -0.7942482233047485, 1.0489099025726318, 0.15079008042812347, -2.2727456092834473, 0.37733322381973267, 0.11901793628931046, 2.6444625854492188, 4.085426330566406], [0.7867817878723145, 1.1891907453536987, 0.5995086431503296, -1.185322880744934, 0.7343527674674988, 0.88795006275177, 2.0751235485076904, -1.120612621307373, -0.44542911648750305, -3.842207908630371, 2.6403963565826416, -1.608534574508667, 4.864809989929199, 1.2937767505645752, 1.056260108947754, 2.5368220806121826, -1.2388657331466675, 0.3452329635620117, 2.9635133743286133, 0.8946875929832458, -0.12906433641910553, 1.9482688903808594, -1.9826005697250366, 1.8505512475967407, 1.0746750831604004, -1.07425057888031, -0.48278623819351196, 2.022927761077881, -0.5863435864448547, -0.2988925576210022, -2.5099172592163086, -4.056896686553955]]","[[0.014483003877103329, 1.347813367843628, -0.3664279282093048, -0.47893282771110535, 1.0590671300888062, -0.31786608695983887, -0.29673659801483154, 0.2472003698348999, -0.07129283249378204, -0.10344391316175461, 0.5696897506713867, 0.4418255388736725, -1.0257277488708496, -1.3686696290969849, 0.22128410637378693, 0.4380429685115814, -0.5823190212249756, 0.1353047788143158, -0.6236230731010437, -0.9927467703819275, 0.4268392324447632, -0.42352786660194397, -0.17601411044597626, 0.21550968289375305, 0.25570687651634216, 1.447092056274414, -0.484030157327652, -0.19301837682724, 0.05985289067029953, 0.03904290497303009, 0.25721076130867004, 0.1663632094860077], [0.26135316491127014, -1.30744206905365, 0.41836217045783997, 0.4444766938686371, -0.7728825211524963, 0.5579109191894531, 0.19350691139698029, -0.18408283591270447, 0.15751507878303528, 0.1517360955476761, -0.532302737236023, -0.15596550703048706, 1.159801959991455, 1.3481978178024292, -0.28310951590538025, -0.45032864809036255, 0.4616444706916809, -0.3503664433956146, 0.4221057593822479, 0.8874814510345459, -0.3232843279838562, 0.3678760826587677, -0.027435610070824623, -0.1528419703245163, -0.15996557474136353, -1.3127951622009277, 0.4092540442943573, 0.24723447859287262, -0.05927657335996628, -0.0832872986793518, -0.2879810929298401, -0.17697440087795258]]","[[-0.7444638609886169, 1.2190502882003784, -0.05809350311756134, -1.0446239709854126, -0.04685959592461586, -0.061971914023160934, 0.3610842823982239, 0.036125924438238144, 0.6928221583366394, 0.1571042537689209, -0.5412920713424683, -0.5496618151664734, 0.3175181448459625, 0.35165444016456604, 0.1861112117767334, 0.110752172768116, 0.634570837020874, -0.29763063788414, -0.1729889214038849, -0.5104673504829407, 0.5407304763793945, -0.17597222328186035, 0.1211795061826706, 0.21667514741420746, 0.22749145328998566, 0.1520548313856125, 0.5099939107894897, 0.33274489641189575, 0.3316399157047272, 0.45489782094955444, 0.10522236675024033, 0.35329166054725647], [0.601837158203125, -1.2619197368621826, 0.1580013483762741, 0.9592816829681396, -0.10627871006727219, 0.1489221304655075, -0.5187658667564392, 0.0015635229647159576, -0.7800804972648621, -0.1544942557811737, 0.4778670072555542, 0.6910143494606018, -0.2707192003726959, -0.450767457485199, 0.08981623500585556, 0.03413786739110947, -0.8872190713882446, 0.15824300050735474, -0.05135499686002731, 0.7138944268226624, -0.37992003560066223, 0.14861896634101868, 0.0038650634232908487, -0.07535833865404129, -0.03784075379371643, -0.11070592701435089, -0.3373882472515106, -0.3419460654258728, -0.2062782645225525, -0.3712621033191681, -0.14151500165462494, -0.38838639855384827]]","[[1.1312217712402344, 0.5591719746589661, -0.2426571547985077, -0.1389600932598114, -0.08409906923770905, -0.40264269709587097, -0.11161718517541885, -0.40666940808296204, 0.009269515052437782, -0.05790919065475464, 0.7140206694602966, -0.0008070933981798589, 0.040259793400764465, -0.6417387127876282, -0.5020846724510193, -0.7585655450820923, -0.3560902178287506, -0.34734830260276794, -0.35904771089553833, 1.0744802951812744, 0.032557155936956406, 0.2057008296251297, -0.05771695822477341, -0.3381202220916748, -0.5100221633911133, 0.44889065623283386, 0.06207945942878723, 0.024532902985811234, 0.06577172130346298, -0.39921218156814575, -0.2659650146961212, -0.3413347601890564], [-1.2004867792129517, -0.40178659558296204, 0.2728625237941742, 0.0641632154583931, 0.3240434527397156, 0.28884151577949524, 0.38255494832992554, 0.4448184370994568, 0.14135034382343292, -0.0041316538117825985, -0.5485731363296509, 0.2617948055267334, -0.1037336140871048, 0.3789961338043213, 0.6536831855773926, 0.5745857954025269, 0.35778242349624634, 0.23571909964084625, 0.26557350158691406, -1.110248327255249, 0.06583487242460251, -0.38094449043273926, 0.1493522822856903, 0.016222745180130005, 0.6456829905509949, -0.5431767702102661, 0.014792037196457386, -0.3086782395839691, -0.008067691698670387, 0.35631489753723145, 0.2533338963985443, 0.3891148269176483]]"
