,action_linear_layer2_channel[35]_tick3,action_linear_layer2_channel[53]_tick3,action_linear_layer2_channel[54]_tick3,action_linear_layer2_channel[58]_tick3,action_linear_layer2_channel[56]_tick3
train_loss,1.3871011182826052,1.1814827778006112,1.2368414619917512,1.2600986252548874,1.3913324340697257
val_loss,1.4023759365081787,1.1448756781491367,1.2472742795944214,1.2325408350337634,1.4030458385294133
val_acc,0.48773006134969327,0.803680981595092,0.696319018404908,0.7638036809815951,0.50920245398773
test_acc,0.41046831955922863,0.6088154269972452,0.6170798898071626,0.8126721763085399,0.40771349862258954
