,agent_loc_linear_layer0_channelhidden_tick3,agent_loc_linear_layer0_channelcell_tick3,agent_loc_linear_layer0_channelxenc_tick3,agent_loc_linear_layer0_channelhiddenxenc_tick3,agent_loc_linear_layer1_channelhidden_tick3,agent_loc_linear_layer1_channelcell_tick3,agent_loc_linear_layer1_channelxenc_tick3,agent_loc_linear_layer1_channelhiddenxenc_tick3,agent_loc_linear_layer2_channelhidden_tick3,agent_loc_linear_layer2_channelcell_tick3,agent_loc_linear_layer2_channelxenc_tick3,agent_loc_linear_layer2_channelhiddenxenc_tick3
train_loss,3.248845732401288,3.3878631970239064,3.185527782591562,3.185491448356992,3.2554542223612466,3.808537801106771,3.1855256103333973,3.185497143911937,3.1939011414845786,3.193123908269973,3.185525822261023,3.185471288741581
val_loss,3.7598255702427457,3.83598746572222,3.188530513218471,3.1965387548719133,3.758610282625471,3.9977477278028215,3.1885973044804166,3.1938343048095703,3.506685427256993,3.3086966446467807,3.1883177757263184,3.197937386376517
val_acc,0.5329949238578681,0.36548223350253806,1.0,1.0,0.47715736040609136,0.2131979695431472,1.0,1.0,0.868020304568528,0.9035532994923858,1.0,1.0
test_acc,0.4051094890510949,0.34306569343065696,1.0,1.0,0.4416058394160584,0.13503649635036497,1.0,1.0,0.7773722627737226,0.9379562043795621,1.0,0.9927007299270073
