,action_linear_layer2_channel[3]_tick3,action_linear_layer2_channel[21]_tick3,action_linear_layer2_channel[22]_tick3,action_linear_layer2_channel[24]_tick3,action_linear_layer2_channel[26]_tick3,action_linear_layer2_channel[28]_tick3
train_loss,1.2094755702830375,1.1665976301152656,1.10589790445693,1.3355405467621824,1.2096700054533938,1.4271747885866368
val_loss,1.220841816787062,1.1875772578962918,1.1262722364787399,1.3594211853783706,1.2064147776570813,1.4445265243793357
val_acc,0.710239651416122,0.7538126361655774,0.8278867102396514,0.565359477124183,0.7205882352941176,0.45697167755991286
test_acc,0.70665988815455,0.7488561260803254,0.8383324860193188,0.6075241484494154,0.6949669547534316,0.4697508896797153
