,action_linear_layer2_channelhiddenxenc_tick3,action_ahead_1_linear_layer2_channelhiddenxenc_tick3,action_ahead_2_linear_layer2_channelhiddenxenc_tick3,agent_loc_linear_layer2_channelhiddenxenc_tick3,agent_loc_ahead_1_linear_layer2_channelhiddenxenc_tick3,agent_loc_ahead_2_linear_layer2_channelhiddenxenc_tick3,agent_loc_ahead_3_linear_layer2_channelhiddenxenc_tick3
train_loss,0.9170008232845134,1.0398232761770487,1.068915774704705,3.1854031277661345,3.216949093341827,3.3175260248318525,3.3409938411712647
val_loss,1.0220842162768047,1.2584880969741128,1.3765704255355031,3.1868098665166786,3.382686745036732,3.603674574902183,3.7592698966755584
val_acc,0.8822143698468787,0.6410635155096012,0.5215231788079471,1.0,0.8242245199409158,0.6274834437086093,0.4906716417910448
test_acc,0.8473193473193473,0.6974431818181818,0.5300632911392406,1.0,0.8238636363636364,0.6044303797468354,0.35018050541516244
mean_abs_weight,"[0.28292226791381836, 0.055595796555280685, 0.19112269580364227, 0.719262421131134, 0.19857904314994812, 0.16213691234588623, 0.16277168691158295, 0.262736052274704, 0.20020738244056702, 0.21852163970470428, 0.21945901215076447, 0.3003602921962738, 0.2195865660905838, 0.18048787117004395, 0.18131475150585175, 0.14342083036899567, 0.3302571773529053, 0.14044885337352753, 0.26146385073661804, 0.0451933853328228, 0.1534198671579361, 0.5434046983718872, 0.7583662271499634, 0.26836830377578735, 0.4727300703525543, 0.2418157309293747, 0.66643226146698, 0.2330959588289261, 0.3019295334815979, 0.07527186721563339, 0.2246445268392563, 0.3733675181865692, 0.1753699779510498, 0.11579456180334091, 0.14801962673664093, 0.13068249821662903, 0.13454149663448334, 0.14811690151691437, 0.10261876881122589, 0.14690051972866058, 0.13327457010746002, 0.10534032434225082, 0.15563927590847015, 0.07354623079299927, 0.11887072771787643, 0.10572870075702667, 0.17044813930988312, 0.1339901238679886, 0.1113303080201149, 0.14936955273151398, 0.175776407122612, 0.15526090562343597, 0.14368660748004913, 0.1869298666715622, 0.13089852035045624, 0.09002138674259186, 0.135391503572464, 0.12722516059875488, 0.11186420917510986, 0.12731322646141052, 0.1520218700170517, 0.14407609403133392, 0.11882705986499786, 0.09837044775485992]","[0.2851589620113373, 0.08125099539756775, 0.2395911067724228, 0.26676687598228455, 0.2936928868293762, 0.2582368552684784, 0.22964034974575043, 0.32678091526031494, 0.2375420182943344, 0.3262384235858917, 0.3726564049720764, 0.3979399502277374, 0.28050562739372253, 0.4039994180202484, 0.30899080634117126, 0.4620106816291809, 0.33849695324897766, 0.21929685771465302, 0.2986516058444977, 0.056451745331287384, 0.26438596844673157, 0.3814566433429718, 0.280868262052536, 0.2996290624141693, 0.5191774964332581, 0.3168972432613373, 0.3671987056732178, 0.29364529252052307, 0.2679668962955475, 0.09134997427463531, 0.31985172629356384, 0.4569699466228485, 0.16832248866558075, 0.15431682765483856, 0.15760530531406403, 0.12782268226146698, 0.1541358232498169, 0.1720806360244751, 0.13409309089183807, 0.15650895237922668, 0.13073043525218964, 0.12900292873382568, 0.1765691488981247, 0.07370076328516006, 0.16169269382953644, 0.12725858390331268, 0.16367383301258087, 0.1573762595653534, 0.12770569324493408, 0.15412934124469757, 0.2230830043554306, 0.2049345076084137, 0.16196678578853607, 0.17578507959842682, 0.15861928462982178, 0.096640445291996, 0.14461517333984375, 0.13551965355873108, 0.12098138779401779, 0.1253741830587387, 0.15509048104286194, 0.17855365574359894, 0.12733308970928192, 0.10600364208221436]","[0.28476348519325256, 0.08087175339460373, 0.23700793087482452, 0.24014730751514435, 0.3575091063976288, 0.22263546288013458, 0.21129541099071503, 0.2932945489883423, 0.24182100594043732, 0.29258567094802856, 0.314392626285553, 0.34081992506980896, 0.26360246539115906, 0.3584233820438385, 0.2826424539089203, 0.3943830728530884, 0.30632320046424866, 0.22838297486305237, 0.25224894285202026, 0.06143106147646904, 0.2584722638130188, 0.25790712237358093, 0.22019007802009583, 0.24689891934394836, 0.33557456731796265, 0.29763346910476685, 0.2195170372724533, 0.28157463669776917, 0.2596685588359833, 0.07439839839935303, 0.29100045561790466, 0.40932103991508484, 0.16284362971782684, 0.14640717208385468, 0.14111720025539398, 0.12974964082241058, 0.15799210965633392, 0.17428737878799438, 0.1417049616575241, 0.15965954959392548, 0.13311080634593964, 0.1368311047554016, 0.1920030117034912, 0.07493389397859573, 0.16031891107559204, 0.1274968683719635, 0.1622997522354126, 0.14510945975780487, 0.13532410562038422, 0.14816898107528687, 0.24441742897033691, 0.22788582742214203, 0.16994085907936096, 0.18189232051372528, 0.17347393929958344, 0.10437855869531631, 0.14095740020275116, 0.14263273775577545, 0.11865570396184921, 0.1271226406097412, 0.15803715586662292, 0.17796650528907776, 0.12078604847192764, 0.10543177276849747]","[0.0974787250161171, 0.033333271741867065, 0.08459664136171341, 0.1459924578666687, 0.0754975900053978, 0.06465675681829453, 0.12106640636920929, 0.08816264569759369, 0.07716706395149231, 0.08893576264381409, 0.14956457912921906, 0.14504915475845337, 0.08499977737665176, 0.06336192786693573, 0.06986887753009796, 0.07668673247098923, 0.10240469127893448, 0.07405783236026764, 0.08513154089450836, 0.022997219115495682, 0.11778524518013, 0.09923883527517319, 0.10473954677581787, 0.08345603942871094, 0.1106032282114029, 0.07853305339813232, 0.08405090123414993, 0.07823146134614944, 0.07792499661445618, 0.0406479574739933, 0.08176490664482117, 0.15039940178394318, 0.09248476475477219, 0.07378964126110077, 0.1010122075676918, 0.08159893751144409, 0.09730078279972076, 0.11472733318805695, 0.06396309286355972, 0.0953085795044899, 0.09093615412712097, 0.07080642879009247, 0.13460159301757812, 0.07348687946796417, 0.08576960861682892, 0.07014075666666031, 0.10420207679271698, 0.10602778196334839, 0.10133610665798187, 0.09285987168550491, 0.18839070200920105, 0.17904594540596008, 0.11846046149730682, 0.11075320839881897, 0.1274786740541458, 0.06410641968250275, 0.0916764885187149, 0.08930766582489014, 0.0824696272611618, 0.08687202632427216, 0.1039716899394989, 0.12047173827886581, 0.09118077158927917, 0.0669916421175003]","[0.18249310553073883, 0.06852924823760986, 0.1286838948726654, 0.1745370477437973, 0.14795881509780884, 0.12069126963615417, 0.16063381731510162, 0.18969468772411346, 0.12386292964220047, 0.16901883482933044, 0.21519088745117188, 0.16099593043327332, 0.15738528966903687, 0.11169745028018951, 0.12410859763622284, 0.14208939671516418, 0.17568348348140717, 0.13858665525913239, 0.1341688483953476, 0.046317003667354584, 0.16700269281864166, 0.21675261855125427, 0.1854172646999359, 0.15432235598564148, 0.219779372215271, 0.15535011887550354, 0.14396347105503082, 0.14224831759929657, 0.13561350107192993, 0.08496689051389694, 0.15940165519714355, 0.23594579100608826, 0.11512067914009094, 0.10067057609558105, 0.11507406085729599, 0.11355630308389664, 0.11463470011949539, 0.13532987236976624, 0.09234015643596649, 0.11686737835407257, 0.12339261174201965, 0.09492596983909607, 0.14909112453460693, 0.08625127375125885, 0.12390407174825668, 0.0939830094575882, 0.13150115311145782, 0.12157735228538513, 0.11250784248113632, 0.13048146665096283, 0.18186476826667786, 0.1869574785232544, 0.1445605456829071, 0.1414584517478943, 0.14111390709877014, 0.09390997141599655, 0.12117723375558853, 0.1332913041114807, 0.09917221963405609, 0.12352702021598816, 0.12604054808616638, 0.1404409408569336, 0.12721402943134308, 0.08317364007234573]","[0.19910182058811188, 0.08544991910457611, 0.14263296127319336, 0.16458389163017273, 0.16793425381183624, 0.13297846913337708, 0.176861971616745, 0.20514196157455444, 0.13296109437942505, 0.1734732687473297, 0.2176995575428009, 0.1678656041622162, 0.16236332058906555, 0.12393568456172943, 0.15470027923583984, 0.16163605451583862, 0.18298174440860748, 0.16035205125808716, 0.1443721354007721, 0.05519329011440277, 0.177546888589859, 0.19583868980407715, 0.18497109413146973, 0.1647733449935913, 0.24421216547489166, 0.17025098204612732, 0.1383344531059265, 0.16128429770469666, 0.1397324800491333, 0.10152602195739746, 0.17633351683616638, 0.21820394694805145, 0.1254844069480896, 0.10603056848049164, 0.12056054919958115, 0.11511887609958649, 0.1192367896437645, 0.1450243890285492, 0.10725083202123642, 0.1243135929107666, 0.13614411652088165, 0.10414790362119675, 0.13064603507518768, 0.09326259791851044, 0.14198963344097137, 0.09954714775085449, 0.14450815320014954, 0.12556028366088867, 0.11315417289733887, 0.1403188407421112, 0.16212840378284454, 0.16089430451393127, 0.13835661113262177, 0.13972561061382294, 0.14229941368103027, 0.10374639928340912, 0.13050931692123413, 0.15013249218463898, 0.09657754749059677, 0.12714692950248718, 0.13261446356773376, 0.12423816323280334, 0.14447040855884552, 0.09342848509550095]","[0.19518642127513885, 0.0955481305718422, 0.14519822597503662, 0.1612950563430786, 0.17673859000205994, 0.13820034265518188, 0.1854897141456604, 0.21825961768627167, 0.13839194178581238, 0.17912657558918, 0.20894783735275269, 0.17004722356796265, 0.1688706874847412, 0.12944760918617249, 0.1754453182220459, 0.1642739474773407, 0.17371052503585815, 0.1742490977048874, 0.15015822649002075, 0.06171959638595581, 0.17745473980903625, 0.1846315562725067, 0.18461677432060242, 0.15595859289169312, 0.22122883796691895, 0.17248830199241638, 0.14848603308200836, 0.16202595829963684, 0.14047539234161377, 0.09298315644264221, 0.18650254607200623, 0.20405131578445435, 0.12494443356990814, 0.1122765764594078, 0.12331017851829529, 0.11741183698177338, 0.1218092143535614, 0.144253209233284, 0.10623559355735779, 0.12516048550605774, 0.13844043016433716, 0.10806535184383392, 0.12506942451000214, 0.09659585356712341, 0.13844600319862366, 0.09842227399349213, 0.1425599306821823, 0.1273520290851593, 0.11432632058858871, 0.14424064755439758, 0.1520252525806427, 0.13653017580509186, 0.1361752599477768, 0.13995081186294556, 0.14094991981983185, 0.10527767241001129, 0.13426581025123596, 0.1482354998588562, 0.10014376044273376, 0.1255134791135788, 0.13221478462219238, 0.11892629414796829, 0.1453191041946411, 0.0955285057425499]"
