,layer,alpha,interv,success_rate
0,0,0.25,0,0.25625
1,0,0.25,1,0.26875
2,0,0.25,2,0.30625
3,0,0.25,3,0.34375
4,0,0.5,0,0.6875
5,0,0.5,1,0.7125
6,0,0.5,2,0.76875
7,0,0.5,3,0.825
8,0,1.0,0,0.925
9,0,1.0,1,0.94375
10,0,1.0,2,0.96875
11,0,1.0,3,0.95625
12,0,2.0,0,0.98125
13,0,2.0,1,0.96875
14,0,2.0,2,0.95
15,0,2.0,3,0.8875
16,0,4.0,0,0.99375
17,0,4.0,1,0.9625
18,0,4.0,2,0.9
19,0,4.0,3,0.86875
20,1,0.25,0,0.08125
21,1,0.25,1,0.1125
22,1,0.25,2,0.1375
23,1,0.25,3,0.1625
24,1,0.5,0,0.49375
25,1,0.5,1,0.50625
26,1,0.5,2,0.58125
27,1,0.5,3,0.69375
28,1,1.0,0,0.86875
29,1,1.0,1,0.89375
30,1,1.0,2,0.925
31,1,1.0,3,0.9375
32,1,2.0,0,0.86875
33,1,2.0,1,0.925
34,1,2.0,2,0.8875
35,1,2.0,3,0.8625
36,1,4.0,0,0.88125
37,1,4.0,1,0.9125
38,1,4.0,2,0.88125
39,1,4.0,3,0.825
40,2,0.25,0,0.50625
41,2,0.25,1,0.55
42,2,0.25,2,0.5875
43,2,0.25,3,0.61875
44,2,0.5,0,0.9375
45,2,0.5,1,0.95
46,2,0.5,2,0.9625
47,2,0.5,3,0.975
48,2,1.0,0,0.98125
49,2,1.0,1,0.9875
50,2,1.0,2,0.9875
51,2,1.0,3,0.99375
52,2,2.0,0,0.98125
53,2,2.0,1,0.99375
54,2,2.0,2,0.99375
55,2,2.0,3,0.98125
56,2,4.0,0,0.9875
57,2,4.0,1,0.975
58,2,4.0,2,0.91875
59,2,4.0,3,0.8875
