,layer,alpha,success_rate,intervs
0,0,0.25,0.0625,0
1,0,0.5,0.21875,0
2,0,1.0,0.4125,0
3,0,2.0,0.55,0
4,0,4.0,0.65,0
5,0,0.25,0.1375,1
6,0,0.5,0.31875,1
7,0,1.0,0.51875,1
8,0,2.0,0.7,1
9,0,4.0,0.74375,1
10,0,0.25,0.26875,2
11,0,0.5,0.4875,2
12,0,1.0,0.74375,2
13,0,2.0,0.84375,2
14,0,4.0,0.8125,2
15,0,0.25,0.325,3
16,0,0.5,0.65625,3
17,0,1.0,0.825,3
18,0,2.0,0.8625,3
19,0,4.0,0.81875,3
20,1,0.25,0.075,0
21,1,0.5,0.24375,0
22,1,1.0,0.6,0
23,1,2.0,0.7375,0
24,1,4.0,0.725,0
25,1,0.25,0.1125,1
26,1,0.5,0.3,1
27,1,1.0,0.5625,1
28,1,2.0,0.51875,1
29,1,4.0,0.41875,1
30,1,0.25,0.175,2
31,1,0.5,0.43125,2
32,1,1.0,0.63125,2
33,1,2.0,0.55,2
34,1,4.0,0.4625,2
35,1,0.25,0.2375,3
36,1,0.5,0.575,3
37,1,1.0,0.6875,3
38,1,2.0,0.58125,3
39,1,4.0,0.45,3
40,2,0.25,0.3125,0
41,2,0.5,0.7,0
42,2,1.0,0.9125,0
43,2,2.0,0.875,0
44,2,4.0,0.76875,0
45,2,0.25,0.33125,1
46,2,0.5,0.75625,1
47,2,1.0,0.80625,1
48,2,2.0,0.61875,1
49,2,4.0,0.5,1
50,2,0.25,0.43125,2
51,2,0.5,0.81875,2
52,2,1.0,0.7875,2
53,2,2.0,0.59375,2
54,2,4.0,0.45625,2
55,2,0.25,0.54375,3
56,2,0.5,0.85625,3
57,2,1.0,0.66875,3
58,2,2.0,0.45,3
59,2,4.0,0.3625,3
