,layer,alpha,success_rate,intervs
0,0,0.25,0.06875,0
1,0,0.5,0.2125,0
2,0,1.0,0.3875,0
3,0,2.0,0.5625,0
4,0,4.0,0.65625,0
5,0,0.25,0.11875,1
6,0,0.5,0.30625,1
7,0,1.0,0.51875,1
8,0,2.0,0.73125,1
9,0,4.0,0.76875,1
10,0,0.25,0.2625,2
11,0,0.5,0.49375,2
12,0,1.0,0.74375,2
13,0,2.0,0.8375,2
14,0,4.0,0.8125,2
15,0,0.25,0.3125,3
16,0,0.5,0.65,3
17,0,1.0,0.81875,3
18,0,2.0,0.84375,3
19,0,4.0,0.825,3
20,1,0.25,0.08125,0
21,1,0.5,0.24375,0
22,1,1.0,0.625,0
23,1,2.0,0.71875,0
24,1,4.0,0.6875,0
25,1,0.25,0.11875,1
26,1,0.5,0.3,1
27,1,1.0,0.56875,1
28,1,2.0,0.5125,1
29,1,4.0,0.40625,1
30,1,0.25,0.175,2
31,1,0.5,0.425,2
32,1,1.0,0.66875,2
33,1,2.0,0.55,2
34,1,4.0,0.44375,2
35,1,0.25,0.2375,3
36,1,0.5,0.5625,3
37,1,1.0,0.7,3
38,1,2.0,0.6,3
39,1,4.0,0.4125,3
40,2,0.25,0.2875,0
41,2,0.5,0.66875,0
42,2,1.0,0.875,0
43,2,2.0,0.84375,0
44,2,4.0,0.75,0
45,2,0.25,0.34375,1
46,2,0.5,0.7375,1
47,2,1.0,0.75,1
48,2,2.0,0.5875,1
49,2,4.0,0.525,1
50,2,0.25,0.4375,2
51,2,0.5,0.83125,2
52,2,1.0,0.76875,2
53,2,2.0,0.58125,2
54,2,4.0,0.45,2
55,2,0.25,0.55,3
56,2,0.5,0.825,3
57,2,1.0,0.6375,3
58,2,2.0,0.4375,3
59,2,4.0,0.35625,3
