,layer,alpha,success_rate,intervs
0,0,0.25,0.21,1
1,0,0.5,0.495,1
2,0,1.0,0.77,1
3,0,2.0,0.83,1
4,0,4.0,0.795,1
5,1,0.25,0.025,1
6,1,0.5,0.06,1
7,1,1.0,0.26,1
8,1,2.0,0.375,1
9,1,4.0,0.435,1
10,2,0.25,0.01,1
11,2,0.5,0.31,1
12,2,1.0,0.55,1
13,2,2.0,0.7,1
14,2,4.0,0.64,1
15,3,0.25,0.005,1
16,3,0.5,0.05,1
17,3,1.0,0.405,1
18,3,2.0,0.565,1
19,3,4.0,0.545,1
20,4,0.25,0.045,1
21,4,0.5,0.185,1
22,4,1.0,0.32,1
23,4,2.0,0.235,1
24,4,4.0,0.19,1
25,5,0.25,0.11,1
26,5,0.5,0.155,1
27,5,1.0,0.105,1
28,5,2.0,0.04,1
29,5,4.0,0.025,1
