,layer,alpha,success_rate,intervs
0,0,0.25,0.125,1
1,0,0.5,0.335,1
2,0,1.0,0.545,1
3,0,2.0,0.695,1
4,0,4.0,0.645,1
5,1,0.25,0.0,1
6,1,0.5,0.005,1
7,1,1.0,0.03,1
8,1,2.0,0.15,1
9,1,4.0,0.475,1
10,2,0.25,0.015,1
11,2,0.5,0.03,1
12,2,1.0,0.425,1
13,2,2.0,0.505,1
14,2,4.0,0.555,1
15,3,0.25,0.125,1
16,3,0.5,0.35,1
17,3,1.0,0.455,1
18,3,2.0,0.47,1
19,3,4.0,0.465,1
20,4,0.25,0.025,1
21,4,0.5,0.065,1
22,4,1.0,0.135,1
23,4,2.0,0.43,1
24,4,4.0,0.4,1
25,5,0.25,0.12,1
26,5,0.5,0.375,1
27,5,1.0,0.47,1
28,5,2.0,0.42,1
29,5,4.0,0.385,1
