,layer,alpha,success_rate,intervs
0,0,0.25,0.125,1
1,0,0.5,0.33,1
2,0,1.0,0.555,1
3,0,2.0,0.7,1
4,0,4.0,0.67,1
5,1,0.25,0.0,1
6,1,0.5,0.015,1
7,1,1.0,0.035,1
8,1,2.0,0.155,1
9,1,4.0,0.46,1
10,2,0.25,0.01,1
11,2,0.5,0.03,1
12,2,1.0,0.42,1
13,2,2.0,0.49,1
14,2,4.0,0.5,1
15,3,0.25,0.065,1
16,3,0.5,0.2,1
17,3,1.0,0.205,1
18,3,2.0,0.24,1
19,3,4.0,0.29,1
20,4,0.25,0.0,1
21,4,0.5,0.025,1
22,4,1.0,0.26,1
23,4,2.0,0.335,1
24,4,4.0,0.35,1
25,5,0.25,0.065,1
26,5,0.5,0.175,1
27,5,1.0,0.26,1
28,5,2.0,0.22,1
29,5,4.0,0.165,1
