,layer,alpha,intervs,success_rate
0,0,0.25,0,0.25
1,0,0.25,1,0.275
2,0,0.25,2,0.315
3,0,0.25,3,0.35
4,0,0.5,0,0.675
5,0,0.5,1,0.71
6,0,0.5,2,0.755
7,0,0.5,3,0.81
8,0,1.0,0,0.88
9,0,1.0,1,0.905
10,0,1.0,2,0.925
11,0,1.0,3,0.915
12,0,2.0,0,0.945
13,0,2.0,1,0.92
14,0,2.0,2,0.9
15,0,2.0,3,0.87
16,0,4.0,0,0.95
17,0,4.0,1,0.93
18,0,4.0,2,0.855
19,0,4.0,3,0.815
20,1,0.25,0,0.1
21,1,0.25,1,0.115
22,1,0.25,2,0.135
23,1,0.25,3,0.145
24,1,0.5,0,0.505
25,1,0.5,1,0.525
26,1,0.5,2,0.585
27,1,0.5,3,0.695
28,1,1.0,0,0.85
29,1,1.0,1,0.88
30,1,1.0,2,0.905
31,1,1.0,3,0.925
32,1,2.0,0,0.87
33,1,2.0,1,0.9
34,1,2.0,2,0.87
35,1,2.0,3,0.835
36,1,4.0,0,0.88
37,1,4.0,1,0.9
38,1,4.0,2,0.845
39,1,4.0,3,0.805
40,2,0.25,0,0.48
41,2,0.25,1,0.525
42,2,0.25,2,0.56
43,2,0.25,3,0.595
44,2,0.5,0,0.895
45,2,0.5,1,0.92
46,2,0.5,2,0.93
47,2,0.5,3,0.945
48,2,1.0,0,0.965
49,2,1.0,1,0.97
50,2,1.0,2,0.98
51,2,1.0,3,0.985
52,2,2.0,0,0.985
53,2,2.0,1,0.97
54,2,2.0,2,0.985
55,2,2.0,3,0.97
56,2,4.0,0,0.98
57,2,4.0,1,0.965
58,2,4.0,2,0.94
59,2,4.0,3,0.905
60,3,0.25,0,0.0
61,3,0.25,1,0.0
62,3,0.25,2,0.0
63,3,0.25,3,0.0
64,3,0.5,0,0.0
65,3,0.5,1,0.0
66,3,0.5,2,0.0
67,3,0.5,3,0.0
68,3,1.0,0,0.01
69,3,1.0,1,0.01
70,3,1.0,2,0.015
71,3,1.0,3,0.03
72,3,2.0,0,0.015
73,3,2.0,1,0.03
74,3,2.0,2,0.03
75,3,2.0,3,0.015
76,3,4.0,0,0.035
77,3,4.0,1,0.03
78,3,4.0,2,0.035
79,3,4.0,3,0.02
80,4,0.25,0,0.0
81,4,0.25,1,0.0
82,4,0.25,2,0.0
83,4,0.25,3,0.0
84,4,0.5,0,0.0
85,4,0.5,1,0.0
86,4,0.5,2,0.0
87,4,0.5,3,0.0
88,4,1.0,0,0.045
89,4,1.0,1,0.035
90,4,1.0,2,0.01
91,4,1.0,3,0.015
92,4,2.0,0,0.045
93,4,2.0,1,0.015
94,4,2.0,2,0.01
95,4,2.0,3,0.005
96,4,4.0,0,0.035
97,4,4.0,1,0.01
98,4,4.0,2,0.015
99,4,4.0,3,0.005
100,5,0.25,0,0.0
101,5,0.25,1,0.0
102,5,0.25,2,0.0
103,5,0.25,3,0.0
104,5,0.5,0,0.0
105,5,0.5,1,0.0
106,5,0.5,2,0.0
107,5,0.5,3,0.0
108,5,1.0,0,0.0
109,5,1.0,1,0.015
110,5,1.0,2,0.005
111,5,1.0,3,0.005
112,5,2.0,0,0.06
113,5,2.0,1,0.02
114,5,2.0,2,0.0
115,5,2.0,3,0.0
116,5,4.0,0,0.065
117,5,4.0,1,0.025
118,5,4.0,2,0.01
119,5,4.0,3,0.005
