,layer,alpha,success_rate,intervs
0,0,0.25,0.055,1
1,0,0.5,0.215,1
2,0,1.0,0.645,1
3,0,2.0,0.815,1
4,0,4.0,0.815,1
5,1,0.25,0.105,1
6,1,0.5,0.405,1
7,1,1.0,0.815,1
8,1,2.0,0.895,1
9,1,4.0,0.93,1
10,2,0.25,0.045,1
11,2,0.5,0.095,1
12,2,1.0,0.32,1
13,2,2.0,0.25,1
14,2,4.0,0.245,1
15,3,0.25,0.03,1
16,3,0.5,0.13,1
17,3,1.0,0.245,1
18,3,2.0,0.285,1
19,3,4.0,0.295,1
20,4,0.25,0.025,1
21,4,0.5,0.085,1
22,4,1.0,0.32,1
23,4,2.0,0.48,1
24,4,4.0,0.535,1
25,5,0.25,0.035,1
26,5,0.5,0.035,1
27,5,1.0,0.045,1
28,5,2.0,0.075,1
29,5,4.0,0.115,1
