,layer,alpha,success_rate,intervs
0,0,0.25,0.285,1
1,0,0.5,0.735,1
2,0,1.0,0.945,1
3,0,2.0,0.95,1
4,0,4.0,0.925,1
5,1,0.25,0.095,1
6,1,0.5,0.45,1
7,1,1.0,0.835,1
8,1,2.0,0.93,1
9,1,4.0,0.875,1
10,2,0.25,0.05,1
11,2,0.5,0.32,1
12,2,1.0,0.515,1
13,2,2.0,0.495,1
14,2,4.0,0.47,1
15,3,0.25,0.145,1
16,3,0.5,0.305,1
17,3,1.0,0.305,1
18,3,2.0,0.285,1
19,3,4.0,0.26,1
20,4,0.25,0.035,1
21,4,0.5,0.14,1
22,4,1.0,0.46,1
23,4,2.0,0.45,1
24,4,4.0,0.385,1
25,5,0.25,0.045,1
26,5,0.5,0.085,1
27,5,1.0,0.0,1
28,5,2.0,0.01,1
29,5,4.0,0.0,1
