,layer,alpha,success_rate,intervs
0,0,0.25,0.03,0
1,0,0.5,0.13,0
2,0,1.0,0.275,0
3,0,2.0,0.49,0
4,0,4.0,0.58,0
5,0,0.25,0.075,1
6,0,0.5,0.26,1
7,0,1.0,0.55,1
8,0,2.0,0.78,1
9,0,4.0,0.785,1
10,0,0.25,0.16,2
11,0,0.5,0.535,2
12,0,1.0,0.765,2
13,0,2.0,0.82,2
14,0,4.0,0.795,2
15,0,0.25,0.255,3
16,0,0.5,0.71,3
17,0,1.0,0.85,3
18,0,2.0,0.865,3
19,0,4.0,0.815,3
20,1,0.25,0.04,0
21,1,0.5,0.25,0
22,1,1.0,0.61,0
23,1,2.0,0.65,0
24,1,4.0,0.69,0
25,1,0.25,0.08,1
26,1,0.5,0.42,1
27,1,1.0,0.73,1
28,1,2.0,0.785,1
29,1,4.0,0.69,1
30,1,0.25,0.11,2
31,1,0.5,0.535,2
32,1,1.0,0.8,2
33,1,2.0,0.79,2
34,1,4.0,0.63,2
35,1,0.25,0.21,3
36,1,0.5,0.72,3
37,1,1.0,0.86,3
38,1,2.0,0.8,3
39,1,4.0,0.625,3
40,2,0.25,0.05,0
41,2,0.5,0.31,0
42,2,1.0,0.785,0
43,2,2.0,0.845,0
44,2,4.0,0.785,0
45,2,0.25,0.115,1
46,2,0.5,0.46,1
47,2,1.0,0.815,1
48,2,2.0,0.74,1
49,2,4.0,0.665,1
50,2,0.25,0.175,2
51,2,0.5,0.475,2
52,2,1.0,0.665,2
53,2,2.0,0.585,2
54,2,4.0,0.51,2
55,2,0.25,0.265,3
56,2,0.5,0.53,3
57,2,1.0,0.555,3
58,2,2.0,0.435,3
59,2,4.0,0.325,3
60,3,0.25,0.035,0
61,3,0.5,0.12,0
62,3,1.0,0.28,0
63,3,2.0,0.395,0
64,3,4.0,0.495,0
65,3,0.25,0.045,1
66,3,0.5,0.21,1
67,3,1.0,0.495,1
68,3,2.0,0.63,1
69,3,4.0,0.665,1
70,3,0.25,0.045,2
71,3,0.5,0.3,2
72,3,1.0,0.535,2
73,3,2.0,0.54,2
74,3,4.0,0.455,2
75,3,0.25,0.045,3
76,3,0.5,0.345,3
77,3,1.0,0.48,3
78,3,2.0,0.465,3
79,3,4.0,0.44,3
80,4,0.25,0.0,0
81,4,0.5,0.01,0
82,4,1.0,0.305,0
83,4,2.0,0.455,0
84,4,4.0,0.51,0
85,4,0.25,0.0,1
86,4,0.5,0.025,1
87,4,1.0,0.29,1
88,4,2.0,0.4,1
89,4,4.0,0.42,1
90,4,0.25,0.0,2
91,4,0.5,0.04,2
92,4,1.0,0.275,2
93,4,2.0,0.295,2
94,4,4.0,0.31,2
95,4,0.25,0.0,3
96,4,0.5,0.035,3
97,4,1.0,0.185,3
98,4,2.0,0.26,3
99,4,4.0,0.31,3
100,5,0.25,0.0,0
101,5,0.5,0.0,0
102,5,1.0,0.0,0
103,5,2.0,0.0,0
104,5,4.0,0.0,0
105,5,0.25,0.0,1
106,5,0.5,0.0,1
107,5,1.0,0.04,1
108,5,2.0,0.025,1
109,5,4.0,0.02,1
110,5,0.25,0.0,2
111,5,0.5,0.005,2
112,5,1.0,0.045,2
113,5,2.0,0.03,2
114,5,4.0,0.03,2
115,5,0.25,0.0,3
116,5,0.5,0.0,3
117,5,1.0,0.03,3
118,5,2.0,0.005,3
119,5,4.0,0.015,3
