,layer,alpha,success_rate,intervs
0,0,0.25,0.03,0
1,0,0.5,0.135,0
2,0,1.0,0.29,0
3,0,2.0,0.525,0
4,0,4.0,0.585,0
5,0,0.25,0.07,1
6,0,0.5,0.275,1
7,0,1.0,0.58,1
8,0,2.0,0.775,1
9,0,4.0,0.79,1
10,0,0.25,0.175,2
11,0,0.5,0.53,2
12,0,1.0,0.77,2
13,0,2.0,0.82,2
14,0,4.0,0.805,2
15,0,0.25,0.255,3
16,0,0.5,0.725,3
17,0,1.0,0.84,3
18,0,2.0,0.855,3
19,0,4.0,0.82,3
20,1,0.25,0.04,0
21,1,0.5,0.25,0
22,1,1.0,0.59,0
23,1,2.0,0.595,0
24,1,4.0,0.61,0
25,1,0.25,0.075,1
26,1,0.5,0.41,1
27,1,1.0,0.72,1
28,1,2.0,0.74,1
29,1,4.0,0.615,1
30,1,0.25,0.11,2
31,1,0.5,0.525,2
32,1,1.0,0.785,2
33,1,2.0,0.73,2
34,1,4.0,0.58,2
35,1,0.25,0.215,3
36,1,0.5,0.705,3
37,1,1.0,0.835,3
38,1,2.0,0.77,3
39,1,4.0,0.56,3
40,2,0.25,0.04,0
41,2,0.5,0.265,0
42,2,1.0,0.78,0
43,2,2.0,0.82,0
44,2,4.0,0.77,0
45,2,0.25,0.105,1
46,2,0.5,0.44,1
47,2,1.0,0.765,1
48,2,2.0,0.73,1
49,2,4.0,0.68,1
50,2,0.25,0.14,2
51,2,0.5,0.45,2
52,2,1.0,0.655,2
53,2,2.0,0.565,2
54,2,4.0,0.51,2
55,2,0.25,0.24,3
56,2,0.5,0.51,3
57,2,1.0,0.535,3
58,2,2.0,0.405,3
59,2,4.0,0.355,3
60,3,0.25,0.05,0
61,3,0.5,0.24,0
62,3,1.0,0.615,0
63,3,2.0,0.765,0
64,3,4.0,0.745,0
65,3,0.25,0.045,1
66,3,0.5,0.185,1
67,3,1.0,0.495,1
68,3,2.0,0.495,1
69,3,4.0,0.45,1
70,3,0.25,0.045,2
71,3,0.5,0.205,2
72,3,1.0,0.385,2
73,3,2.0,0.305,2
74,3,4.0,0.285,2
75,3,0.25,0.035,3
76,3,0.5,0.17,3
77,3,1.0,0.325,3
78,3,2.0,0.28,3
79,3,4.0,0.295,3
80,4,0.25,0.0,0
81,4,0.5,0.0,0
82,4,1.0,0.25,0
83,4,2.0,0.51,0
84,4,4.0,0.555,0
85,4,0.25,0.0,1
86,4,0.5,0.005,1
87,4,1.0,0.285,1
88,4,2.0,0.49,1
89,4,4.0,0.475,1
90,4,0.25,0.0,2
91,4,0.5,0.005,2
92,4,1.0,0.28,2
93,4,2.0,0.36,2
94,4,4.0,0.3,2
95,4,0.25,0.0,3
96,4,0.5,0.005,3
97,4,1.0,0.22,3
98,4,2.0,0.225,3
99,4,4.0,0.23,3
100,5,0.25,0.02,0
101,5,0.5,0.14,0
102,5,1.0,0.215,0
103,5,2.0,0.175,0
104,5,4.0,0.16,0
105,5,0.25,0.02,1
106,5,0.5,0.185,1
107,5,1.0,0.13,1
108,5,2.0,0.05,1
109,5,4.0,0.04,1
110,5,0.25,0.015,2
111,5,0.5,0.11,2
112,5,1.0,0.055,2
113,5,2.0,0.04,2
114,5,4.0,0.03,2
115,5,0.25,0.03,3
116,5,0.5,0.11,3
117,5,1.0,0.06,3
118,5,2.0,0.01,3
119,5,4.0,0.02,3
