,layer,alpha,success_rate,intervs
0,0,0.25,0.03,0
1,0,0.5,0.135,0
2,0,1.0,0.28,0
3,0,2.0,0.495,0
4,0,4.0,0.565,0
5,0,0.25,0.075,1
6,0,0.5,0.26,1
7,0,1.0,0.555,1
8,0,2.0,0.77,1
9,0,4.0,0.77,1
10,0,0.25,0.175,2
11,0,0.5,0.505,2
12,0,1.0,0.755,2
13,0,2.0,0.815,2
14,0,4.0,0.785,2
15,0,0.25,0.25,3
16,0,0.5,0.7,3
17,0,1.0,0.835,3
18,0,2.0,0.85,3
19,0,4.0,0.81,3
20,1,0.25,0.04,0
21,1,0.5,0.255,0
22,1,1.0,0.61,0
23,1,2.0,0.62,0
24,1,4.0,0.64,0
25,1,0.25,0.085,1
26,1,0.5,0.42,1
27,1,1.0,0.72,1
28,1,2.0,0.74,1
29,1,4.0,0.675,1
30,1,0.25,0.11,2
31,1,0.5,0.545,2
32,1,1.0,0.79,2
33,1,2.0,0.78,2
34,1,4.0,0.63,2
35,1,0.25,0.23,3
36,1,0.5,0.715,3
37,1,1.0,0.845,3
38,1,2.0,0.765,3
39,1,4.0,0.615,3
40,2,0.25,0.04,0
41,2,0.5,0.27,0
42,2,1.0,0.805,0
43,2,2.0,0.83,0
44,2,4.0,0.775,0
45,2,0.25,0.11,1
46,2,0.5,0.445,1
47,2,1.0,0.81,1
48,2,2.0,0.725,1
49,2,4.0,0.69,1
50,2,0.25,0.14,2
51,2,0.5,0.475,2
52,2,1.0,0.685,2
53,2,2.0,0.57,2
54,2,4.0,0.475,2
55,2,0.25,0.23,3
56,2,0.5,0.525,3
57,2,1.0,0.545,3
58,2,2.0,0.425,3
59,2,4.0,0.3,3
60,3,0.25,0.02,0
61,3,0.5,0.105,0
62,3,1.0,0.255,0
63,3,2.0,0.415,0
64,3,4.0,0.525,0
65,3,0.25,0.035,1
66,3,0.5,0.195,1
67,3,1.0,0.44,1
68,3,2.0,0.515,1
69,3,4.0,0.62,1
70,3,0.25,0.055,2
71,3,0.5,0.205,2
72,3,1.0,0.38,2
73,3,2.0,0.335,2
74,3,4.0,0.445,2
75,3,0.25,0.06,3
76,3,0.5,0.18,3
77,3,1.0,0.275,3
78,3,2.0,0.165,3
79,3,4.0,0.305,3
80,4,0.25,0.0,0
81,4,0.5,0.01,0
82,4,1.0,0.095,0
83,4,2.0,0.49,0
84,4,4.0,0.605,0
85,4,0.25,0.0,1
86,4,0.5,0.015,1
87,4,1.0,0.2,1
88,4,2.0,0.36,1
89,4,4.0,0.32,1
90,4,0.25,0.005,2
91,4,0.5,0.025,2
92,4,1.0,0.175,2
93,4,2.0,0.28,2
94,4,4.0,0.27,2
95,4,0.25,0.005,3
96,4,0.5,0.03,3
97,4,1.0,0.175,3
98,4,2.0,0.28,3
99,4,4.0,0.25,3
100,5,0.25,0.0,0
101,5,0.5,0.065,0
102,5,1.0,0.17,0
103,5,2.0,0.15,0
104,5,4.0,0.14,0
105,5,0.25,0.015,1
106,5,0.5,0.075,1
107,5,1.0,0.09,1
108,5,2.0,0.04,1
109,5,4.0,0.03,1
110,5,0.25,0.015,2
111,5,0.5,0.065,2
112,5,1.0,0.01,2
113,5,2.0,0.0,2
114,5,4.0,0.0,2
115,5,0.25,0.05,3
116,5,0.5,0.085,3
117,5,1.0,0.005,3
118,5,2.0,0.0,3
119,5,4.0,0.0,3
