,layer,alpha,success_rate,intervs
0,0,0.25,0.28,1
1,0,0.5,0.725,1
2,0,1.0,0.93,1
3,0,2.0,0.945,1
4,0,4.0,0.895,1
5,1,0.25,0.095,1
6,1,0.5,0.5,1
7,1,1.0,0.87,1
8,1,2.0,0.94,1
9,1,4.0,0.765,1
10,2,0.25,0.035,1
11,2,0.5,0.28,1
12,2,1.0,0.58,1
13,2,2.0,0.53,1
14,2,4.0,0.395,1
15,3,0.25,0.025,1
16,3,0.5,0.16,1
17,3,1.0,0.52,1
18,3,2.0,0.49,1
19,3,4.0,0.29,1
20,4,0.25,0.05,1
21,4,0.5,0.18,1
22,4,1.0,0.315,1
23,4,2.0,0.33,1
24,4,4.0,0.38,1
25,5,0.25,0.095,1
26,5,0.5,0.325,1
27,5,1.0,0.14,1
28,5,2.0,0.075,1
29,5,4.0,0.015,1
