,layer,alpha,success_rate,intervs
0,0,0.25,0.025,0
1,0,0.5,0.13,0
2,0,1.0,0.29,0
3,0,2.0,0.525,0
4,0,4.0,0.64,0
5,0,0.25,0.075,1
6,0,0.5,0.275,1
7,0,1.0,0.56,1
8,0,2.0,0.785,1
9,0,4.0,0.795,1
10,0,0.25,0.165,2
11,0,0.5,0.535,2
12,0,1.0,0.775,2
13,0,2.0,0.845,2
14,0,4.0,0.84,2
15,0,0.25,0.255,3
16,0,0.5,0.715,3
17,0,1.0,0.845,3
18,0,2.0,0.87,3
19,0,4.0,0.845,3
20,1,0.25,0.04,0
21,1,0.5,0.295,0
22,1,1.0,0.615,0
23,1,2.0,0.605,0
24,1,4.0,0.655,0
25,1,0.25,0.08,1
26,1,0.5,0.44,1
27,1,1.0,0.745,1
28,1,2.0,0.74,1
29,1,4.0,0.61,1
30,1,0.25,0.13,2
31,1,0.5,0.575,2
32,1,1.0,0.8,2
33,1,2.0,0.74,2
34,1,4.0,0.53,2
35,1,0.25,0.225,3
36,1,0.5,0.725,3
37,1,1.0,0.85,3
38,1,2.0,0.765,3
39,1,4.0,0.545,3
40,2,0.25,0.045,0
41,2,0.5,0.3,0
42,2,1.0,0.84,0
43,2,2.0,0.82,0
44,2,4.0,0.765,0
45,2,0.25,0.11,1
46,2,0.5,0.46,1
47,2,1.0,0.83,1
48,2,2.0,0.745,1
49,2,4.0,0.7,1
50,2,0.25,0.15,2
51,2,0.5,0.485,2
52,2,1.0,0.67,2
53,2,2.0,0.57,2
54,2,4.0,0.515,2
55,2,0.25,0.225,3
56,2,0.5,0.54,3
57,2,1.0,0.565,3
58,2,2.0,0.44,3
59,2,4.0,0.355,3
60,3,0.25,0.02,0
61,3,0.5,0.125,0
62,3,1.0,0.23,0
63,3,2.0,0.285,0
64,3,4.0,0.315,0
65,3,0.25,0.015,1
66,3,0.5,0.115,1
67,3,1.0,0.235,1
68,3,2.0,0.285,1
69,3,4.0,0.305,1
70,3,0.25,0.015,2
71,3,0.5,0.135,2
72,3,1.0,0.225,2
73,3,2.0,0.265,2
74,3,4.0,0.245,2
75,3,0.25,0.015,3
76,3,0.5,0.14,3
77,3,1.0,0.25,3
78,3,2.0,0.245,3
79,3,4.0,0.19,3
80,4,0.25,0.0,0
81,4,0.5,0.0,0
82,4,1.0,0.0,0
83,4,2.0,0.015,0
84,4,4.0,0.07,0
85,4,0.25,0.0,1
86,4,0.5,0.0,1
87,4,1.0,0.01,1
88,4,2.0,0.045,1
89,4,4.0,0.095,1
90,4,0.25,0.0,2
91,4,0.5,0.0,2
92,4,1.0,0.04,2
93,4,2.0,0.075,2
94,4,4.0,0.085,2
95,4,0.25,0.0,3
96,4,0.5,0.005,3
97,4,1.0,0.025,3
98,4,2.0,0.055,3
99,4,4.0,0.08,3
100,5,0.25,0.005,0
101,5,0.5,0.015,0
102,5,1.0,0.03,0
103,5,2.0,0.13,0
104,5,4.0,0.305,0
105,5,0.25,0.005,1
106,5,0.5,0.03,1
107,5,1.0,0.075,1
108,5,2.0,0.12,1
109,5,4.0,0.16,1
110,5,0.25,0.005,2
111,5,0.5,0.04,2
112,5,1.0,0.03,2
113,5,2.0,0.055,2
114,5,4.0,0.055,2
115,5,0.25,0.01,3
116,5,0.5,0.02,3
117,5,1.0,0.035,3
118,5,2.0,0.025,3
119,5,4.0,0.025,3
