,layer,alpha,success_rate,intervs
0,0,0.25,0.125,1
1,0,0.5,0.33,1
2,0,1.0,0.545,1
3,0,2.0,0.7,1
4,0,4.0,0.66,1
5,1,0.25,0.0,1
6,1,0.5,0.01,1
7,1,1.0,0.02,1
8,1,2.0,0.075,1
9,1,4.0,0.355,1
10,2,0.25,0.01,1
11,2,0.5,0.03,1
12,2,1.0,0.4,1
13,2,2.0,0.485,1
14,2,4.0,0.49,1
15,3,0.25,0.025,1
16,3,0.5,0.06,1
17,3,1.0,0.105,1
18,3,2.0,0.2,1
19,3,4.0,0.24,1
20,4,0.25,0.04,1
21,4,0.5,0.125,1
22,4,1.0,0.225,1
23,4,2.0,0.38,1
24,4,4.0,0.41,1
25,5,0.25,0.095,1
26,5,0.5,0.2,1
27,5,1.0,0.23,1
28,5,2.0,0.13,1
29,5,4.0,0.115,1
