,layer,alpha,success_rate,intervs
0,0,0.25,0.285,1
1,0,0.5,0.725,1
2,0,1.0,0.94,1
3,0,2.0,0.945,1
4,0,4.0,0.925,1
5,1,0.25,0.105,1
6,1,0.5,0.525,1
7,1,1.0,0.885,1
8,1,2.0,0.94,1
9,1,4.0,0.87,1
10,2,0.25,0.035,1
11,2,0.5,0.295,1
12,2,1.0,0.575,1
13,2,2.0,0.54,1
14,2,4.0,0.42,1
15,3,0.25,0.09,1
16,3,0.5,0.325,1
17,3,1.0,0.585,1
18,3,2.0,0.4,1
19,3,4.0,0.405,1
20,4,0.25,0.015,1
21,4,0.5,0.055,1
22,4,1.0,0.15,1
23,4,2.0,0.235,1
24,4,4.0,0.155,1
25,5,0.25,0.2,1
26,5,0.5,0.395,1
27,5,1.0,0.35,1
28,5,2.0,0.215,1
29,5,4.0,0.12,1
