,xenc,layer0,layer1,layer2
test acc,0.747,0.791,0.802,0.828
weights,"[[0.5420361161231995, 0.015850234776735306, 0.39303863048553467, 0.180867999792099, 0.9898231029510498, 1.2604660987854004, 0.5178871750831604, 0.11085472255945206, -0.056544605642557144, 0.10626548528671265, -2.028782844543457, -0.18874455988407135, 0.27303165197372437, 0.7580520510673523, -0.19602429866790771, 0.32418787479400635, 1.3718156814575195, 0.3312743604183197, -1.0131802558898926, 0.6439040303230286, -0.32739701867103577, -0.7442931532859802, -1.3810288906097412, 0.16652946174144745, -0.7397122979164124, 0.35409867763519287, 0.44585302472114563, -0.07051044702529907, 0.5309258699417114, -0.7213640809059143, -0.21624840795993805, 0.5790104866027832], [-0.33876579999923706, 0.04646031931042671, -0.486971378326416, -0.18219073116779327, -0.9522197246551514, -1.4160997867584229, -0.42122533917427063, -0.14003512263298035, -0.18205364048480988, 0.09904252737760544, 2.319654941558838, 0.13388635218143463, -0.5764235854148865, -0.614984929561615, 0.19539789855480194, -0.3735596835613251, -1.636518120765686, -0.08994263410568237, 0.8417097330093384, -0.54826420545578, 0.1659110188484192, 0.7806683778762817, 1.3711192607879639, -0.2819429039955139, 0.8897750377655029, -0.23802894353866577, -0.6083092093467712, 0.13822239637374878, -0.48066383600234985, 0.8736695051193237, 0.18418176472187042, -0.6497021913528442]]","[[-1.1300016641616821, 0.9680580496788025, 0.09990610182285309, -0.3104665279388428, 0.1440209001302719, -0.22572378814220428, 0.28726422786712646, 0.11172392219305038, -0.635473370552063, 0.16116634011268616, 0.12636375427246094, -0.48082271218299866, -0.029196271672844887, 1.1689873933792114, 0.014749880880117416, 0.05587887391448021, -0.30584996938705444, 0.33649179339408875, 0.4913604259490967, 0.15657071769237518, 0.4557044506072998, -0.2695300579071045, 0.16486959159374237, 0.18279524147510529, -0.017325058579444885, 2.5024309158325195, 2.076646327972412, -0.6967108845710754, -0.151248037815094, 0.2699635624885559, -0.04031970724463463, 1.415645956993103], [1.0323331356048584, -0.919322669506073, 0.03187030926346779, 0.2527432441711426, -0.21101418137550354, 0.40817874670028687, -0.43707898259162903, -0.1524549126625061, 0.8524599075317383, -0.3349756896495819, -0.19784335792064667, 0.23514211177825928, -0.04689151048660278, -1.1997214555740356, -0.025294192135334015, -0.1215592622756958, 0.18708442151546478, -0.27648863196372986, -0.2610044777393341, 0.01801191456615925, -0.5059453248977661, 0.2249159812927246, -0.1290774643421173, -0.047478336840867996, -0.18053680658340454, -2.445040702819824, -2.2238950729370117, 0.7521282434463501, 0.06465980410575867, -0.0901491641998291, 0.06199776753783226, -1.507502794265747]]","[[-0.916976809501648, -0.14371150732040405, 0.47814932465553284, 0.1949201077222824, -0.2948077321052551, 0.6100486516952515, -0.18397407233715057, -0.006559419445693493, 0.29084062576293945, 0.13633136451244354, 0.4256685674190521, -0.760990560054779, -0.4931046962738037, 0.7253146171569824, -0.3251582384109497, -0.3559061586856842, -0.16519953310489655, -0.16016075015068054, -1.3089356422424316, 0.8262159824371338, -0.36100709438323975, -0.8647205829620361, 0.33046549558639526, -0.01034875400364399, 0.40558767318725586, 0.0784657672047615, -0.10138098150491714, 0.5786702632904053, 0.12588056921958923, 0.22422030568122864, -0.11221645772457123, 0.10843035578727722], [1.0454546213150024, 0.18093106150627136, -0.6464998126029968, 0.07172372192144394, 0.30665361881256104, -0.6806398034095764, -0.07981762290000916, 0.2633974552154541, -0.1520199328660965, -0.3523707389831543, -0.30082637071609497, 0.7949877977371216, 0.44424545764923096, -0.7804540395736694, 0.21489067375659943, 0.08041683584451675, -0.05400944501161575, -0.07504619657993317, 1.2777504920959473, -0.8624303936958313, 0.06269827485084534, 0.599209725856781, -0.3498999774456024, -0.1497342437505722, -0.3779810070991516, -0.020203353837132454, -0.04463556408882141, -0.5206460356712341, -0.11247926950454712, -0.03908244147896767, -0.1990765482187271, -0.08444208651781082]]","[[-0.5125373005867004, -0.35582825541496277, 0.22911861538887024, -0.11073438823223114, -0.5700419545173645, -0.35664331912994385, -0.07754247635602951, -0.274129182100296, -0.8235787749290466, 0.08913703262805939, 0.5123199820518494, -0.020343463867902756, -2.1676692962646484, -0.9206324815750122, -0.6879750490188599, 0.2750968933105469, -0.2871359586715698, -0.07068638503551483, 0.16279953718185425, 0.6499719023704529, 0.7051311731338501, 0.4176064729690552, 0.09429511427879333, 1.0910171270370483, -0.03326384350657463, -1.0688282251358032, -0.12382219731807709, 0.029275812208652496, 0.18528707325458527, -0.03210727870464325, -0.14307630062103271, 1.4508572816848755], [0.39901211857795715, 0.45077016949653625, -0.20251400768756866, 0.04116056114435196, 0.3772635757923126, 0.31550332903862, 0.025517534464597702, 0.2081179916858673, 0.5757952928543091, -0.15725931525230408, -0.3822963237762451, -0.2921687960624695, 1.9632564783096313, 0.7100860476493835, 0.7110785245895386, -0.1177414208650589, 0.33276012539863586, -0.16033846139907837, -0.15218481421470642, -0.38890907168388367, -0.4077267050743103, -0.16607622802257538, -0.0005863633123226464, -1.4169813394546509, 0.3098791837692261, 1.2477396726608276, 0.1194404661655426, -0.0509922094643116, -0.17920537292957306, -0.039029259234666824, 0.26079311966896057, -1.3600550889968872]]"
