,xenc,layer0,layer1,layer2
test acc,0.893,0.857,0.871,0.917
weights,"[[-1.26803719997406, -1.9386941194534302, -0.1624061018228531, 1.7460410594940186, 0.2837017774581909, 1.5848593711853027, -1.2159442901611328, -0.004937256220728159, 1.568777322769165, 0.46095040440559387, -3.9976658821105957, 1.0900797843933105, -0.08659029006958008, 2.0378620624542236, -0.8846660852432251, -0.3342500925064087, 0.8487566709518433, 3.6629130840301514, 0.02312079258263111, 2.719846725463867, -0.4349426329135895, -2.0307540893554688, -0.6697447896003723, -1.0046334266662598, -0.3586782217025757, -1.0543748140335083, -3.027766466140747, -1.2926044464111328, 1.6488094329833984, 0.49340832233428955, 0.14863887429237366, 0.4762285351753235], [1.3339463472366333, 1.8979783058166504, 0.1158728152513504, -1.7372223138809204, -0.37538883090019226, -1.4945435523986816, 1.0863901376724243, 0.12253217399120331, -1.877481460571289, -0.426116019487381, 3.839531421661377, -1.2859479188919067, 0.03731105476617813, -2.01401424407959, 1.0539606809616089, 0.4901316463947296, -0.7760027647018433, -3.6979336738586426, -0.050672393292188644, -2.810607671737671, 0.4854097366333008, 1.8410829305648804, 0.8921031355857849, 1.1271547079086304, 0.18546833097934723, 1.1088402271270752, 3.253706455230713, 1.173349142074585, -1.6720807552337646, -0.8193336725234985, -0.37087783217430115, -0.7458749413490295]]","[[0.4482124447822571, 0.1337643563747406, 0.07214260846376419, -1.0467207431793213, -1.042763113975525, -0.3105766773223877, 0.06520194560289383, 1.4996333122253418, -0.07137006521224976, -0.31618669629096985, 0.7016393542289734, 0.09208530187606812, -0.6006913781166077, -0.9214363098144531, -0.18846118450164795, -0.31493622064590454, -0.15583929419517517, 0.6122668385505676, 0.1910492181777954, -0.7870439887046814, -0.1786700040102005, -0.46745845675468445, -1.2462056875228882, -0.02191833406686783, 0.18455256521701813, 1.7591456174850464, -0.08094444870948792, -0.3452100157737732, 0.25619909167289734, -0.13226844370365143, -0.0230014156550169, 0.4176158308982849], [-0.293729305267334, -0.16195304691791534, -0.02873179502785206, 0.8201865553855896, 1.1965798139572144, 0.29206979274749756, -0.3535638153553009, -1.4899516105651855, 0.06716828048229218, 0.29439616203308105, -0.6535421013832092, -0.22734063863754272, 0.41625887155532837, 0.7420658469200134, 0.17400547862052917, 0.13224202394485474, 0.16813431680202484, -0.37518540024757385, -0.03028031811118126, 0.7682074904441833, -0.008344604633748531, 0.36306706070899963, 1.2718818187713623, 0.1887618899345398, -0.26849696040153503, -1.6154789924621582, 0.0631052628159523, 0.29149141907691956, -0.23051244020462036, 0.047426652163267136, -0.2187398076057434, -0.40104517340660095]]","[[0.2614652216434479, 0.5536946058273315, -0.3871860206127167, -0.14497609436511993, 1.1275629997253418, 0.2773778438568115, -0.01648736372590065, 0.12669259309768677, -0.11071038991212845, 1.913678526878357, -0.9979850053787231, 0.1571309119462967, -0.05302918702363968, 0.5805415511131287, 0.1858063042163849, -0.09756577759981155, 0.27965694665908813, -0.80926913022995, 0.5601946115493774, -0.9988325834274292, -0.5965166687965393, 0.01617010124027729, 0.09744051098823547, 0.11134587228298187, 0.13954028487205505, -0.47013232111930847, -0.24735042452812195, 1.435820460319519, 0.18002545833587646, 0.15913568437099457, 0.3986658751964569, 0.09970183670520782], [-0.12947674095630646, -0.46264269948005676, 0.37451526522636414, 0.3763659596443176, -1.006659984588623, -0.2324153333902359, -0.14460541307926178, -0.19973711669445038, 0.07222028821706772, -1.7819303274154663, 0.9314554333686829, -0.05173083022236824, 0.22016748785972595, -0.7786963582038879, -0.002942889230325818, 0.1900346875190735, -0.2231752872467041, 0.7738845348358154, -0.47817331552505493, 0.9046795964241028, 0.9082850217819214, -0.0048148068599402905, 0.07710139453411102, -0.2000465840101242, -0.36953872442245483, 0.4780083894729614, 0.27362802624702454, -1.5189224481582642, -0.10950770974159241, -0.12186956405639648, -0.13974350690841675, 0.21280181407928467]]","[[-0.7211199402809143, 0.5409184098243713, -0.5446134209632874, -0.3965984284877777, -0.36790499091148376, -1.5658965110778809, 0.731011688709259, -1.1253410577774048, -0.5529547929763794, 0.3923704922199249, -0.18593579530715942, -0.41219672560691833, 0.5733469724655151, -0.6870948076248169, -0.32206180691719055, -0.14841631054878235, 0.03083794377744198, 0.4686136841773987, -0.6935754418373108, 0.15176783502101898, -1.0709960460662842, -0.29500770568847656, -0.0374845415353775, 0.9757317304611206, -0.23335163295269012, -0.9252047538757324, -0.5773860812187195, -0.04249703884124756, -1.0638747215270996, -0.8034835457801819, -0.6565176248550415, 3.233421564102173], [0.8274779319763184, -0.5602973699569702, 0.3972243070602417, 0.6969508528709412, 0.3725964426994324, 1.4060962200164795, -0.8203926682472229, 0.9855773448944092, 0.5499734282493591, -0.24110643565654755, 0.1003718301653862, 0.3177735507488251, -0.5853848457336426, 0.6526587009429932, 0.300650954246521, -0.05679655447602272, 0.08684892952442169, -0.33288905024528503, 0.4705980122089386, -0.2595638930797577, 0.9451425671577454, 0.19268429279327393, -0.11153697967529297, -1.122882604598999, 0.10979804396629333, 0.9313293099403381, 0.6216414570808411, 0.04209957271814346, 0.8492588400840759, 1.0027285814285278, 0.5891839861869812, -3.05214786529541]]"
