,xenc,layer0,layer1,layer2
test acc,0.702,0.828,0.815,0.837
weights,"[[1.8067315816879272, -0.1548314094543457, 0.9707942008972168, -0.6390941143035889, -0.6455771327018738, 0.08678299933671951, -0.2572799623012543, 1.8116518259048462, -1.6601685285568237, -0.4392401874065399, 0.2817395329475403, -1.5379209518432617, 0.5374922156333923, -0.525687038898468, -0.5640546083450317, 0.1748475879430771, -2.226975679397583, 1.78532075881958, 1.1831179857254028, 1.195532202720642, 0.2210129350423813, -1.2129937410354614, -1.1574376821517944, -1.104516863822937, -1.0399984121322632, 0.7230072021484375, 0.658110499382019, 2.8083972930908203, -0.626760721206665, -0.21132442355155945, -0.005897850729525089, -1.3287017345428467], [-1.7804229259490967, 0.07080067694187164, -0.9395639896392822, 0.5344850420951843, 0.5145803689956665, 0.04387085139751434, 0.11795920878648758, -1.7476892471313477, 1.6852787733078003, 0.4174335300922394, -0.20146718621253967, 1.662882685661316, -0.6084768176078796, 0.8205106854438782, 0.7418736815452576, -0.21432843804359436, 2.3965530395507812, -1.6870304346084595, -1.0040109157562256, -1.2572674751281738, -0.3239256739616394, 1.213258981704712, 1.1570756435394287, 1.2357784509658813, 1.1361943483352661, -0.8097687363624573, -0.6288729906082153, -2.8095269203186035, 0.5324040055274963, 0.13161571323871613, 0.04262028634548187, 1.3012669086456299]]","[[-0.5224558711051941, 0.2715247869491577, 1.2315797805786133, 0.11747975647449493, 0.3115417957305908, 0.015644077211618423, -0.11436427384614944, 0.25216197967529297, -0.7234790325164795, -0.5627897381782532, 0.3968771994113922, -0.42831292748451233, 0.18174560368061066, 0.13061277568340302, -0.20749983191490173, 0.5839428901672363, 0.3541405498981476, 0.08057783544063568, -0.4677306115627289, 0.8613800406455994, -0.5492376089096069, -0.1509878933429718, -0.19988778233528137, 0.008443007245659828, -0.19303683936595917, 0.915198802947998, -0.27199164032936096, -0.34990304708480835, 0.15853656828403473, 0.09375271201133728, 0.017068209126591682, -1.0529969930648804], [0.43360328674316406, -0.15393269062042236, -1.1755309104919434, -0.04114952310919762, -0.453564316034317, -0.10980700701475143, -0.009554749354720116, -0.06011166796088219, 0.9163734316825867, 0.6594452261924744, -0.4235897660255432, 0.5193978548049927, -0.422578364610672, -0.3217815160751343, 0.16304396092891693, -0.6303544640541077, -0.10267958790063858, -0.17354105412960052, 0.3888263702392578, -0.8234540224075317, 0.5115150213241577, 0.012371163815259933, 0.31362804770469666, 0.052811164408922195, 0.03974171727895737, -0.8614359498023987, 0.37391436100006104, 0.09270068258047104, -0.07627391070127487, -0.17800848186016083, 0.04891861602663994, 1.2374732494354248]]","[[1.2461329698562622, 0.04765525087714195, 0.2906319499015808, 0.5010446906089783, -0.9703402519226074, -0.6106755137443542, -0.39926186203956604, -0.08653433620929718, 0.38711583614349365, 0.05052698776125908, -0.14464396238327026, 0.38860008120536804, -0.009397433139383793, 0.5996559858322144, -0.06036362051963806, 0.0700576901435852, 0.1627175211906433, -0.022280294448137283, 0.26101136207580566, 0.22346587479114532, -0.2512337565422058, 0.15737943351268768, -0.05237753316760063, -0.31867751479148865, -0.009980841539800167, -0.6504903435707092, 0.4471108913421631, -0.4988987147808075, 1.111672043800354, -0.11356272548437119, 0.2832629382610321, -0.3474927246570587], [-1.376566767692566, -0.214555561542511, -0.43963560461997986, -0.5259113907814026, 0.9319952130317688, 0.38448044657707214, 0.6156272888183594, 0.1257583349943161, -0.18238350749015808, 0.061657726764678955, 0.10203474014997482, -0.3160180449485779, 0.16710565984249115, -0.5523446202278137, -0.029766058549284935, 0.11848459392786026, -0.27384087443351746, 0.22234126925468445, -0.11408986151218414, -0.20685389637947083, 0.5190433263778687, -0.21750807762145996, 0.22955697774887085, 0.13831554353237152, 0.322151780128479, 0.7181315422058105, -0.53556227684021, 0.6139522790908813, -0.7955871820449829, -0.028656920418143272, -0.04856359586119652, 0.19674593210220337]]","[[0.11011209338903427, 0.12861378490924835, 0.08408799022436142, -0.08782050013542175, -0.2036527395248413, -1.4860694408416748, -0.11237472295761108, -1.163724660873413, 0.07301781326532364, -0.5005151033401489, -0.20547106862068176, 0.7710428237915039, -0.7125546932220459, -0.21245910227298737, -0.07495841383934021, 0.09104768186807632, 0.32325050234794617, 1.0726559162139893, 0.417726069688797, 0.436990350484848, 0.17653948068618774, 0.003250927198678255, 0.0664958581328392, -0.17221756279468536, -0.01577821373939514, 0.260414183139801, 0.340607225894928, -0.08424121141433716, -0.36649033427238464, 0.023264141753315926, 0.5694873929023743, 1.3451443910598755], [-0.09107792377471924, -0.03264526650309563, -0.07217000424861908, -0.016928520053625107, 0.41018185019493103, 1.4043707847595215, 0.06156173720955849, 1.120331048965454, -0.152614027261734, 0.2573108971118927, 0.23748862743377686, -0.5850700736045837, 0.7807566523551941, 0.30076760053634644, 0.02284243330359459, -0.19122283160686493, -0.17419128119945526, -0.8731143474578857, -0.5324921011924744, -0.3420061767101288, -0.35029473900794983, -0.0009586572996340692, -0.04681691899895668, -0.012264992110431194, -0.11008482426404953, -0.23040321469306946, -0.3088247776031494, -0.031181294471025467, 0.21724627912044525, -0.09875181317329407, -0.8301883935928345, -1.1880605220794678]]"
