,xenc,layer0,layer1,layer2
test acc,0.545,0.73,0.712,0.706
weights,"[[-1.014458179473877, -0.2855071425437927, 0.2808603346347809, 0.6678826212882996, 0.22668109834194183, -0.15232349932193756, -0.2760733962059021, 0.029703231528401375, 0.4229465126991272, -0.3339037597179413, 0.44099488854408264, 0.825957179069519, 0.24481366574764252, -0.5808708071708679, -0.1267760992050171, -0.3422446846961975, -0.525885820388794, 0.07634925097227097, -0.380489706993103, 0.3735860586166382, -0.4496249556541443, -0.11023445427417755, -0.3834674060344696, 0.22669276595115662, 0.21583601832389832, 0.1257508248090744, 0.05124014616012573, -0.9024161696434021, 0.10561683773994446, 0.878707230091095, -0.095394566655159, -0.2874685525894165], [1.0450586080551147, 0.23558174073696136, -0.11999383568763733, -0.7813542485237122, -0.24297219514846802, 0.036667682230472565, 0.5427381992340088, -0.20834647119045258, -0.3821691572666168, 0.4135496914386749, -0.46116703748703003, -0.8554744124412537, -0.5357584357261658, 0.4751763641834259, -0.004083666019141674, 0.4859835207462311, 0.40890470147132874, -0.20465423166751862, 0.20293907821178436, -0.21623575687408447, 0.5680146813392639, -0.05472562462091446, 0.06737374514341354, -0.4324134290218353, -0.14835447072982788, -0.021240534260869026, 0.07414776086807251, 0.9578099250793457, -0.24272246658802032, -0.8937874436378479, 0.1916923224925995, 0.25917091965675354]]","[[-0.18473753333091736, 0.32519766688346863, -0.20907063782215118, 0.2717598080635071, -0.5044243335723877, 0.2110571712255478, -0.062487732619047165, -0.15583127737045288, -0.6318588852882385, -0.06610849499702454, 0.08299072831869125, 0.24171876907348633, 0.36550813913345337, -0.06281021237373352, -0.10838326066732407, 0.6767958998680115, -0.043580736964941025, 0.22668039798736572, -0.016996804624795914, 0.13585449755191803, -0.6207696199417114, -0.09088239818811417, -0.10656414180994034, -0.5458517670631409, -0.12056177854537964, 0.3690599501132965, -0.0040241568349301815, -0.1765378713607788, 0.03200245276093483, 0.35552075505256653, -0.029547756537795067, -0.5432015061378479], [0.3232143521308899, -0.6015238761901855, 0.051638033241033554, -0.2070079892873764, 0.47081607580184937, -0.4235988259315491, 0.16419944167137146, 0.0016432855045422912, 0.4901718497276306, -0.04626135528087616, -0.2281794548034668, -0.27427831292152405, -0.25198644399642944, 0.22971780598163605, 0.2697526812553406, -0.6864069700241089, 0.26513171195983887, -0.2906669080257416, 0.18522432446479797, 0.049216240644454956, 0.32305169105529785, 0.1361456960439682, -0.10911925137042999, 0.37758034467697144, -0.0054708742536604404, -0.33657190203666687, -0.0006871016230434179, 0.3499382734298706, -0.0208881888538599, -0.4092378616333008, -0.06065775081515312, 0.3740878701210022]]","[[0.4825739860534668, 0.10705612599849701, -0.5357635617256165, 0.13248781859874725, -0.2963365316390991, 0.10470099747180939, 0.09777473658323288, -0.13118162751197815, -0.04528806358575821, 0.35543909668922424, 0.0730738416314125, 0.5025418400764465, 0.0886693075299263, 0.2512083351612091, 0.5132747888565063, -0.1087106317281723, 0.9268107414245605, -0.1480592042207718, 0.25217631459236145, 0.35294732451438904, 0.8811317086219788, 0.05772973597049713, 0.03208783641457558, -0.1260339915752411, -0.2018316686153412, -0.27257177233695984, -0.19129537045955658, -0.2563534080982208, 0.21368326246738434, 0.3603186011314392, 0.05819325149059296, 0.03373808041214943], [-0.7282134294509888, -0.09306365996599197, 0.4910985231399536, 0.0852586179971695, 0.5196461081504822, -0.0815119594335556, -0.14333094656467438, 0.11326317489147186, 0.13901162147521973, -0.281711220741272, -0.022087974473834038, -0.45501744747161865, 0.011097175069153309, -0.5399575233459473, -0.3729822039604187, 0.030376043170690536, -0.6871064901351929, 0.1880664825439453, -0.3720427453517914, -0.3058987557888031, -0.675281286239624, -0.003937572240829468, 0.206857368350029, 0.060358550399541855, 0.21052303910255432, 0.27032917737960815, 0.05727533623576164, 0.33887529373168945, -0.10803559422492981, -0.07382961362600327, -0.20130451023578644, 0.040673043578863144]]","[[-0.0743919089436531, 0.06317773461341858, 0.06367714703083038, -0.27003994584083557, 0.16689477860927582, -0.3166247308254242, -0.13488906621932983, -0.5644554495811462, 0.2695222795009613, 0.01534776296466589, -0.02373119443655014, 0.022200128063559532, -0.027439294382929802, -0.0035291812382638454, 0.18058183789253235, -0.14368677139282227, 0.10068707168102264, -1.8420966863632202, 0.06879990547895432, -0.01019215490669012, -0.10794278234243393, -0.05319172888994217, -0.07187081128358841, 0.29565101861953735, 0.11173409223556519, 0.3585180938243866, -0.27672818303108215, 0.15819089114665985, -0.23337802290916443, -0.021378906443715096, 0.23954130709171295, 1.9629924297332764], [0.1354697346687317, 0.019383933395147324, -0.09702469408512115, 0.15118740499019623, -0.16529592871665955, 0.049171533435583115, -0.06927309185266495, 0.683212161064148, -0.1520262062549591, 0.022943565621972084, 0.04459467530250549, 0.1883598417043686, 0.20277386903762817, 0.09883419424295425, 0.03721585497260094, -0.03319399431347847, -0.13756249845027924, 1.6963906288146973, -0.084299735724926, -0.038116395473480225, 0.10034161061048508, -0.2775144577026367, -0.04286126419901848, -0.4281310439109802, -0.13498902320861816, -0.28425833582878113, 0.19494450092315674, -0.12866589426994324, 0.3003781735897064, -0.08507522940635681, -0.5127055048942566, -1.903031587600708]]"
